regulon,mean_RI,max_RI,std_RI,mean_AUC,max_AUC,n_active_cell_types,rank,lineage
ZBTB7A_+,0.027478874688466874,0.036839421687283214,0.006906206045397281,0.0968727946153846,0.128849952,13,75,Myeloid
CEBPB_+,0.027478168903860043,0.03437292493505068,0.006850023211059728,0.10455698676923077,0.130090234,13,76,Myeloid
EBF1_+,0.02747745750990481,0.04381105071337157,0.006827819815885164,0.01405012676923077,0.022065418,13,77,Myeloid
KLF4_+,0.02747687593961554,0.034246244162626484,0.006758656475138817,0.11473604576923079,0.142247542,13,78,Myeloid
ETS2_+,0.027476725161704848,0.03404851385651112,0.006746828091951505,0.10816880138461538,0.133358523,13,79,Myeloid
TFEC_+,0.027476463612272076,0.03789256963019371,0.00673521148972254,0.05759858576923078,0.078716117,13,80,Myeloid
HIF1A_+,0.027476264908714347,0.03757326343251833,0.006728211695445997,0.1179915762307692,0.159945031,13,81,Myeloid
FOXJ3_+,0.02747357551896589,0.04672049604974229,0.006560133621026664,0.027291145,0.045569713,13,82,Myeloid
ZNF33A_+,0.027473565100797306,0.042016356227247934,0.006547883492232125,0.033546255153846155,0.05061902,13,83,Myeloid
IRF7_+,0.02747209623280323,0.046249356918682545,0.006447432560449027,0.06819126423076924,0.112769635,13,84,Myeloid
ARID3A_+,0.0274710335494013,0.03653226902628608,0.006344055216277303,0.0966043230769231,0.127461925,13,85,Myeloid
STAT1_+,0.027470750454352006,0.039746628830680766,0.006324793155022391,0.09044394807692308,0.12940385,13,86,Myeloid
CREB1_+,0.027468784839811414,0.04499726740472787,0.006192306760879966,0.021839034153846155,0.035183352,13,87,Myeloid
IRF1_+,0.027468759084218367,0.03557823056603661,0.006165488227968874,0.09309261807692308,0.119738668,13,88,Myeloid
NR1D2_+,0.027468739984909063,0.042303642128526074,0.006182718289885302,0.033411314615384616,0.050745093,13,89,Myeloid
EGR1_+,0.02746794328152388,0.03828798905657229,0.006106675653767252,0.21057119507692304,0.290657928,13,90,Myeloid
SOX13_+,0.02746635890490962,0.0376258541644147,0.005981121958596437,0.01748140769230769,0.023729033,13,91,Myeloid
NFIC_+,0.027465543009447035,0.04163784362829411,0.005923919079606284,0.0984726293076923,0.14730737,13,92,Myeloid
MXD1_+,0.027465003477322683,0.032913352684275324,0.0058624398477988985,0.1402859877692308,0.167384817,13,93,Myeloid
PBX4_+,0.027463121478273875,0.041770896643340334,0.005725402493758457,0.016636853000000004,0.024963538,13,94,Myeloid
KLF7_+,0.027462566890933498,0.033040905758149254,0.0056645290689415345,0.051780070615384616,0.062013611,13,95,Myeloid
NFIL3_+,0.02746250273014416,0.03451736496586639,0.005655814560912072,0.12741458884615386,0.159172186,13,96,Myeloid
MAFG_+,0.0274619044910905,0.037773920545208416,0.005612481926483198,0.06436174653846155,0.08769419,13,97,Myeloid
SOX4_+,0.027461621694918725,0.03583451878680664,0.0055907114532088706,0.06090338792307693,0.07887929,13,98,Myeloid
KLF12_+,0.02746127989102363,0.038477030515815656,0.005564842497796133,0.015242241,0.021139093,13,99,Myeloid
BNC2_+,0.027460749698284215,0.03818249914219328,0.005512221364879953,0.01826841469230769,0.025149718,13,100,Myeloid
KLF10_+,0.027459473550291935,0.034409617426793146,0.005401833599990917,0.11368816284615385,0.141596914,13,101,Myeloid
NFKB2_+,0.027459223026058487,0.04162265665326086,0.005390109937440678,0.052977515615384614,0.079222564,13,102,Myeloid
STAT2_+,0.02745914119250864,0.035801626236818374,0.00537343767252136,0.0896498156923077,0.116007712,13,103,Myeloid
AHR_+,0.027458864011687362,0.03926303165101636,0.00535317709191312,0.0684714096923077,0.096822668,13,104,Myeloid
KLF3_+,0.027457528111693465,0.037519778258740505,0.0052352764214982144,0.074377528,0.100685469,13,105,Myeloid
RELB_+,0.02745655399719262,0.03554750411582623,0.005134994144958529,0.1255231546153846,0.16131753,13,106,Myeloid
ATF5_+,0.027456201412504874,0.034382215494281325,0.00510749573762234,0.10720595653846156,0.133420866,13,107,Myeloid
STAT4_+,0.02745589235079455,0.03338991520268178,0.005074203452698898,0.025950984923076924,0.031396778,13,108,Myeloid
HES6_+,0.02745546276620184,0.03711436120302091,0.005039578450802832,0.009261656769230768,0.012407295,5,109,Myeloid
FOSB_+,0.027453370855032223,0.03665693047536489,0.004834742658410231,0.14776579507692308,0.195605658,13,110,Myeloid
ZEB2_+,0.027452210698394222,0.03246397673288413,0.004713253527469146,0.1278775150769231,0.150566066,13,111,Myeloid
MBD2_+,0.02745124771574995,0.0365118811206118,0.0046232367406974185,0.08874583500000002,0.117030373,13,112,Myeloid
SP100_+,0.02745010465604555,0.0404344314168151,0.004508651647525232,0.05934824876923077,0.086321439,13,113,Myeloid
FOXP1_+,0.02744979101618746,0.04115060332865948,0.00447855394349656,0.05341666907692307,0.079011775,13,114,Myeloid
JUND_+,0.02744923643443638,0.034185727453967245,0.004406286592839178,0.11874227653846152,0.146963428,13,115,Myeloid
CREM_+,0.027448553634844306,0.03806325847273982,0.0043357607704164105,0.035710269384615384,0.04901403,13,116,Myeloid
TFDP2_+,0.027447775378396926,0.03425471374158873,0.004244103718097031,0.022949456153846158,0.028459082,13,117,Myeloid
TGIF1_+,0.027447399535262047,0.03274814430531977,0.00419799376003253,0.06955911815384616,0.08259324,13,118,Myeloid
IRF5_+,0.027445214019472006,0.033501294234691024,0.003943986408748355,0.1041343052307692,0.126392523,13,119,Myeloid
JUNB_+,0.02744382771708593,0.03277997079116652,0.0037710528897430865,0.20152636407692304,0.239513445,13,120,Myeloid
KLF6_+,0.027443211108730898,0.03270245849441914,0.0036929482138320278,0.11373026676923079,0.134859235,13,121,Myeloid
PRDM4_+,0.027442439049421723,0.037382946702733844,0.0035988740858587994,0.011103816846153847,0.014978624,10,122,Myeloid
RORA_+,0.027442028944736723,0.03676985131252905,0.003542249473088774,0.02298229,0.030513075,13,123,Myeloid
MEF2C_+,0.02744157633337579,0.0333193669029329,0.003474739525784945,0.02877863415384616,0.034746773,13,124,Myeloid
ELF1_+,0.027441470417555666,0.03319697032968369,0.0034627195141851822,0.036991894230769234,0.044504863,13,125,Myeloid
ETV6_+,0.02744129197164103,0.03249935422509427,0.00343635513218199,0.07862798161538462,0.09267598,13,126,Myeloid
FOSL2_+,0.027440365827929577,0.031810225078652735,0.0033026003896856468,0.06861276076923077,0.079212932,13,127,Myeloid
RUNX1_+,0.02743984735275453,0.031647459708424086,0.003227268125782061,0.035459344307692306,0.040734935,13,128,Myeloid
MAFF_+,0.02743946254799073,0.03612359937970363,0.003175934415571354,0.05261083976923077,0.068668357,13,129,Myeloid
SREBF2_+,0.027439263453507154,0.03418037157516488,0.003144923623743054,0.04219677061538462,0.052217668,13,130,Myeloid
MAZ_+,0.02743903425781739,0.0339927163276955,0.0031086901903590335,0.057255808461538465,0.070477589,13,131,Myeloid
ASCL2_+,0.02743891932843579,0.03165058224480016,0.0030870442521635432,0.10537378876923077,0.121062704,13,132,Myeloid
GATA3_+,0.027438870934904533,0.03184983847990672,0.003077072672581466,0.01766413569230769,0.020417676,13,133,Myeloid
HMGA1_+,0.02743861512451857,0.03222013445347152,0.0030398119510149342,0.10773635953846153,0.125930294,13,134,Myeloid
ELK3_+,0.027438511656301852,0.03199245810543926,0.0030230805682797688,0.025223879153846156,0.029282098,13,135,Myeloid
GFI1_+,0.02743845392705244,0.0318566898057526,0.003013987394709712,0.02935474107692308,0.033937708,13,136,Myeloid
ARNTL_+,0.027438059166381,0.03150942823082525,0.0029523640918438622,0.054908028538461544,0.062811009,13,137,Myeloid
TFEB_+,0.027437942477678518,0.031048463523304908,0.002932586500219857,0.10228263399999998,0.115347512,13,138,Myeloid
XBP1_+,0.02743786520862283,0.0334303630727088,0.0029205700079707247,0.07057617253846155,0.08548639,13,139,Myeloid
MAF_+,0.027437837848453942,0.030793048550974398,0.002911775202092792,0.05023989699999999,0.056205944,13,140,Myeloid
ZNF224_+,0.027437474427921528,0.03532317993297899,0.002859883510731384,0.04091689830769231,0.052265084,13,141,Myeloid
SMAD3_+,0.027437462542001856,0.03242596181743054,0.002854948734500397,0.03359995007692308,0.039516616,13,142,Myeloid
ZBED5_+,0.0274371151789347,0.03267973168537943,0.002797782728879724,0.036225864230769234,0.042927111,13,143,Myeloid
HSF1_+,0.027436905138524988,0.03009441221771091,0.0027567989766044136,0.179683008,0.196601672,13,144,Myeloid
ZNF639_+,0.027436602345608234,0.032020266936279164,0.0027077030538378345,0.061878981307692316,0.071894941,13,145,Myeloid
ZFY_+,0.02743639352145025,0.03316327034745385,0.0026692368022862693,0.026000779384615383,0.03125081,13,146,Myeloid
STAT6_+,0.02743600854669243,0.03202211059257241,0.0026002434135243982,0.04717791269230769,0.054817355,13,147,Myeloid
E2F2_+,0.027435902954569512,0.03491981868542522,0.002583606285794192,0.018063099846153848,0.022818875,13,148,Myeloid
BATF_+,0.02743571985266176,0.030468413944303795,0.0025435832072944684,0.09496295215384615,0.10515515,13,149,Myeloid
JUN_+,0.02743542190410712,0.03224722271171821,0.0024892469982888354,0.15567287923076925,0.182109959,13,150,Myeloid
FOXO1_+,0.027435374778555836,0.03313169785053146,0.0024809113976666445,0.023417399692307696,0.02811992,13,151,Myeloid
ZBTB18_+,0.027435241137521674,0.034034740750232724,0.00245621711098248,0.041784420384615384,0.051494827,13,152,Myeloid
ZNF274_+,0.02743522899639985,0.03159118174542397,0.0024528603044430175,0.03235015653846154,0.037099237,13,153,Myeloid
KLF2_+,0.027434753326028405,0.03017700540908295,0.0023564102430533463,0.09408910976923077,0.103222118,13,154,Myeloid
IKZF1_+,0.027434687618701874,0.031026719493146934,0.0023440166337228394,0.038092998846153844,0.042929615,13,155,Myeloid
MXI1_+,0.02743463548900056,0.03190675905925237,0.0023331420732617385,0.03204686276923077,0.037106446,13,156,Myeloid
