regulon,tf_name,mean_RI,is_ad_regulon,stability_class
CUX1_+,CUX1,0.0015562011311002,False,intermediate
MAFF_+,MAFF,0.0022190492860138,False,intermediate
RORA_+,RORA,0.0019416062116272,False,intermediate
STAT4_+,STAT4,0.0025427764995455,False,stabilizer
ARNTL_+,ARNTL,0.0027015701196101,False,stabilizer
ZBTB8A_+,ZBTB8A,3.380620205862784e-05,False,destabilizer
CREM_+,CREM,0.0023644835263051,False,stabilizer
NR2C1_+,NR2C1,0.0024004705267364,False,stabilizer
E2F3_+,E2F3,0.0011372720818742,False,intermediate
EOMES_+,EOMES,0.0017985444049329,False,intermediate
TBX21_+,TBX21,0.0014768548584082,False,intermediate
SCX_+,SCX,0.000281543522349,False,destabilizer
NFIL3_+,NFIL3,0.0026766855011505,False,stabilizer
ZBTB20_+,ZBTB20,0.0021250941653675,False,intermediate
KLF7_+,KLF7,0.0013475901797717,False,intermediate
ASCL2_+,ASCL2,0.0029521035708377,False,stabilizer
FOXJ3_+,FOXJ3,0.001799048596669,False,intermediate
ZNF101_+,ZNF101,0.0042862241072661,False,stabilizer
ZNF639_+,ZNF639,0.002922322667481,False,stabilizer
HIVEP2_+,HIVEP2,0.003525985871639,False,stabilizer
MYCN_+,MYCN,5.421002510095299e-05,False,destabilizer
CREB5_+,CREB5,0.0010172762726587,False,intermediate
ETV7_+,ETV7,0.0002914849962999,False,destabilizer
MBD2_+,MBD2,0.0025259278609824,False,stabilizer
MEF2A_+,MEF2A,0.0015348570953992,False,intermediate
BATF3_+,BATF3,0.0016761394120503,False,intermediate
MYBL2_+,MYBL2,0.0008670973482435,False,destabilizer
PBX1_+,PBX1,5.141489936096463e-05,False,destabilizer
KLF11_+,KLF11,0.0021833990857479,False,intermediate
NFATC2_+,NFATC2,0.0020661586369232,False,intermediate
ZFY_+,ZFY,0.0010961207238828,False,intermediate
NCOA3_+,NCOA3,0.0011500682570737,False,intermediate
ZBTB40_+,ZBTB40,0.0016413758574088,False,intermediate
ZSCAN18_+,ZSCAN18,0.0006797833993278,False,destabilizer
IRF1_+,IRF1,0.0019971232320873,True,intermediate
NFATC3_+,NFATC3,0.0018204914819808,False,intermediate
SMAD1_+,SMAD1,0.0008001066872032,False,destabilizer
NFKB2_+,NFKB2,0.001549371994131,False,intermediate
GATA1_+,GATA1,3.554658570050101e-05,False,destabilizer
KLF10_+,KLF10,0.0017544698876382,False,intermediate
RXRA_+,RXRA,0.0014601436044148,False,intermediate
ETS2_+,ETS2,0.0013422893236495,False,intermediate
FOXP1_+,FOXP1,0.0027978348648294,False,stabilizer
E2F7_+,E2F7,0.0003181117712851,False,destabilizer
TFEC_+,TFEC,0.0007978591605662,False,destabilizer
ZNF107_+,ZNF107,0.0008791005035944,False,destabilizer
SP100_+,SP100,0.0030921154262271,False,stabilizer
ZNF697_+,ZNF697,0.0003878633758932,False,destabilizer
HMGA1_+,HMGA1,0.0028624059504926,False,stabilizer
PRDM1_+,PRDM1,0.0021022136734091,False,intermediate
ARID3A_+,ARID3A,0.0012656835883466,False,intermediate
EBF4_+,EBF4,0.000518071069607,False,destabilizer
ATF5_+,ATF5,0.0015849899434009,False,intermediate
TCF7_+,TCF7,0.0027618552188645,False,stabilizer
BCL11A_+,BCL11A,0.0009660985622704,False,intermediate
NFIC_+,NFIC,0.0028586834832165,False,stabilizer
NR1D1_+,NR1D1,0.0007503704870923,False,destabilizer
JUN_+,JUN,0.0056322638225152,False,stabilizer
RORC_+,RORC,0.0002626238398261,False,destabilizer
CREB1_+,CREB1,0.0010895560297831,False,intermediate
BPTF_+,BPTF,0.0020514468624116,False,intermediate
PLAG1_+,PLAG1,0.0001782404029318,False,destabilizer
ZBTB25_+,ZBTB25,0.0035910335154758,False,stabilizer
HES1_+,HES1,0.0005946583288402,False,destabilizer
EGR3_+,EGR3,0.0003945763738337,False,destabilizer
KLF12_+,KLF12,0.0018059629632226,False,intermediate
RFX5_+,RFX5,0.0010306223882445,False,intermediate
HLX_+,HLX,0.0009549803334768,False,intermediate
SPI1_+,SPI1,0.0013878861839833,False,intermediate
THRA_+,THRA,0.0030089730665231,False,stabilizer
VDR_+,VDR,0.0014642516158853,False,intermediate
CEBPD_+,CEBPD,0.0014253230313741,False,intermediate
TCF7L2_+,TCF7L2,0.0009879525760907,False,intermediate
RARA_+,RARA,0.0019667533090863,False,intermediate
MAF_+,MAF,0.0023415376304791,False,stabilizer
CEBPB_+,CEBPB,0.0016697131663978,False,intermediate
BACH1_+,BACH1,0.0014541065581958,False,intermediate
EHF_+,EHF,0.0004468637467415,False,destabilizer
MAFB_+,MAFB,0.0012244850402526,False,intermediate
SOX4_+,SOX4,0.0006275988431841,False,destabilizer
ZNF224_+,ZNF224,0.0020571479531291,False,intermediate
PBX4_+,PBX4,0.0019911393942379,False,intermediate
SATB1_+,SATB1,0.0041042604695562,False,stabilizer
STAT5B_+,STAT5B,0.0030555709398201,False,stabilizer
TCF7L1_+,TCF7L1,6.325746504151327e-05,False,destabilizer
ELK3_+,ELK3,0.0011006923762229,False,intermediate
ZNF274_+,ZNF274,0.0015786215044772,False,intermediate
EBF1_+,EBF1,0.0008032339638296,False,destabilizer
ZNF91_+,ZNF91,0.002437562393457,False,stabilizer
NFE2_+,NFE2,0.0010487410907156,False,intermediate
ZBTB16_+,ZBTB16,0.0012280270014127,False,intermediate
