eRegulon,stability_class,mean_RI,rank,mean_abs_age_rho,median_abs_age_rho,mean_age_rho,n_tests,n_significant
MAF_+_(389g),stabilizer,0.0023415376304791,45,0.18433330501476936,0.183102469779148,0.18222219023302302,61,46
BBX_+_(54g),stabilizer,0.0023243177106847,46,0.10723509675037692,0.114098723266901,0.08763483308058752,61,35
NR1D2_+_(84g),stabilizer,0.0023222972206512,47,0.12009385709234575,0.115356721681091,0.09183549045161163,61,31
ETS1_+_(1964g),stabilizer,0.0023095079005006,48,0.12224355567378621,0.100301623188733,-0.10742227086408895,61,40
XBP1_+_(300g),stabilizer,0.0022619814471939,49,0.0899276061499149,0.0729634046019811,0.06412339474969683,61,25
MAX_+_(2788g),stabilizer,0.0022609309577108,50,0.14961065269200896,0.145465239068426,-0.14092754094701104,61,42
MXD1_+_(229g),stabilizer,0.0022543866811867,51,0.06588165673664585,0.0578188595278279,0.04864201579526433,61,19
MAFF_+_(142g),intermediate,0.0022190492860138,52,0.10452922987307155,0.0830043246040633,-0.07816375355688127,61,31
KLF11_+_(433g),intermediate,0.0021833990857479,53,0.13792002850477264,0.143223030380541,0.13130696205596729,61,48
MXI1_+_(176g),intermediate,0.002163203582526,54,0.14561774200063884,0.136742790599051,-0.11290130906517251,61,40
ZBTB20_+_(42g),intermediate,0.0021250941653675,55,0.15633686570482186,0.1736542934167,0.1520169402830112,61,43
BHLHE40_+_(545g),intermediate,0.0021166125106185,56,0.09827607400909283,0.0742954918765073,0.07592155621386447,61,33
FOSL2_+_(642g),intermediate,0.0021135209095868,57,0.09788784966924541,0.0878123034216671,0.0714863659827613,61,28
PRDM1_+_(481g),intermediate,0.0021022136734091,58,0.18314576478364428,0.190841756543599,0.18094678315010074,61,47
ZNF33A_+_(283g),intermediate,0.0020999867145988,59,0.07759119665060142,0.0748767735125904,0.05936508135744443,61,21
STAT1_+_(524g),intermediate,0.0020999195803288,60,0.09031867141847214,0.0857519463969555,0.0626538676667625,61,25
NFATC2_+_(420g),intermediate,0.0020661586369232,61,0.17820126691786012,0.1868339694249,0.17413489621189612,61,49
ZNF224_+_(67g),intermediate,0.0020571479531291,62,0.1508170554632672,0.155171050398874,-0.147196007965486,61,46
FOS_+_(622g),intermediate,0.0020548200272558,63,0.1376485459754547,0.127884228607534,-0.13484792873383133,61,41
BPTF_+_(482g),intermediate,0.0020514468624116,64,0.141985927793723,0.16067893072869,0.14035772608123814,61,42
SMAD3_+_(238g),intermediate,0.0020463268946598,65,0.1274628456435542,0.0921906980057424,0.0705561268198611,61,32
ZBTB7A_+_(1241g),intermediate,0.0020381406530685,66,0.204822675900677,0.217435371224564,0.20323540725913472,61,52
IRF1_+_(998g),intermediate,0.0019971232320873,67,0.0877633311304705,0.0696890930718359,0.055476323694498834,61,27
PBX4_extended_+_(137g),intermediate,0.0019911393942379,68,0.17165953937753364,0.179853006919381,-0.15110482712677706,61,45
RARA_+_(660g),intermediate,0.0019667533090863,69,0.0694457333596365,0.0380468802383493,0.043756284978523574,61,17
RORA_+_(426g),intermediate,0.0019416062116272,70,0.12736685329565114,0.095049862571062,0.10341969169083798,61,32
ELF1_+_(2689g),intermediate,0.0018942317550212,71,0.06094955960136769,0.0450707378069466,-0.020522590519804394,61,16
IKZF1_+_(1889g),intermediate,0.0018823458988977,72,0.06620061956098648,0.0561680204361544,-0.03507687813925999,61,16
TFEB_+_(408g),intermediate,0.0018763918691358,73,0.16511852167470692,0.184203207050588,0.16427137580023274,61,45
RUNX3_+_(892g),intermediate,0.0018742714079534,74,0.17505324737319142,0.175170117240234,0.1704002575949015,61,48
REL_+_(536g),intermediate,0.0018740092262723,75,0.20500278847149567,0.207499882491292,0.20459362236982837,61,50
GFI1_+_(185g),intermediate,0.0018671856562032,76,0.1442867245020897,0.149966421672406,0.14099099414616767,61,40
ZBTB4_+_(98g),intermediate,0.0018628419768315,77,0.08359137968144291,0.0735722829809559,0.06484425737127601,61,25
NFATC3_+_(1204g),intermediate,0.0018204914819808,78,0.2351630356853209,0.239681325449013,0.2351630356853209,61,57
KLF12_+_(459g),intermediate,0.0018059629632226,79,0.10583699291916213,0.0888276053104628,0.0906206988670892,61,33
