regulon,mean_RI,std_RI,max_RI,min_RI,rank,stability_class
HLX_+,0.0009549803334768322,0.0016856922523927067,0.006901362590532849,1.3310791664419216e-07,151,intermediate
TCF3_+,0.0009328809854481397,0.000661724157133802,0.002449867422970078,0.0003660890043464784,152,intermediate
ZNF770_+,0.0009204119330390903,0.00033286626488533824,0.001481105553429495,0.00025072813164789325,153,destabilizer
IRF8_+,0.0008798657454362153,0.0007259232733311493,0.003334890107124278,0.00025099834717605537,154,destabilizer
ZNF107_+,0.0008791005035944488,0.0010397704792309314,0.004364309099988301,1.591998161925376e-05,155,destabilizer
MYBL2_+,0.0008670973482435191,0.001060323329439486,0.006054055597951628,4.711941138884088e-05,156,destabilizer
BHLHE41_+,0.0008604876551693911,0.0009974552461343576,0.0037204074423138216,0.0002728700212288164,157,destabilizer
RUNX2_+,0.0008325382569401179,0.0004802442640939426,0.003858245289020813,0.0005081657301567021,158,destabilizer
MEF2C_+,0.0008179704953067944,0.000464035526008951,0.002464664906768183,0.0004501197253271077,159,destabilizer
EBF1_+,0.0008032339638296916,0.00110735129266978,0.003992813032953348,0.00017819106191095468,160,destabilizer
SMAD1_+,0.000800106687203262,0.0008665171861682154,0.004723204532426986,0.00022361361472262556,161,destabilizer
TFEC_+,0.0007978591605662618,0.0008646760511988218,0.003095405264615853,1.8844245290881537e-05,162,destabilizer
PAX5_+,0.0007899884221750825,0.0011157269801107927,0.004284927136006173,0.0001528473786924399,163,destabilizer
SPIB_+,0.0007779591750372114,0.0007583449087674045,0.0028747352216736723,0.0002254508885271304,164,destabilizer
PLAGL1_+,0.000769945824083569,0.000522890780590993,0.002544521412798868,0.0004090674545951986,165,destabilizer
BACH2_+,0.0007588188754103693,0.0005609557526389169,0.002827754429151219,0.0001937994244760086,166,destabilizer
NR1D1_+,0.0007503704870923565,0.0005867934659824755,0.002451173801248218,0.0001231757491285473,167,destabilizer
ZSCAN18_+,0.0006797833993278225,0.0002870287297071148,0.0014841243322046918,0.0003227432840538171,168,destabilizer
E2F2_+,0.0006710201004842506,0.00045404056409781973,0.003151281416491881,0.0003640926756600824,169,destabilizer
PRDM4_+,0.0006569379391862781,0.0005322597984668788,0.002247780643907528,0.00026120664333998035,170,destabilizer
TCF4_+,0.0006496453407240702,0.0006748142671081714,0.003171245884712822,0.0001371515810255807,171,destabilizer
