cell_type_1,cell_type_2,ad_coupling_r,global_rb,ad_minus_global,n_shared_locus_genes
CD4_Tn_SOX4,Unswitched_Bm_CD1C,0.991795831444093,0.884751186894224,0.10704464454986895,7
CD4_Tn_SOX4,Switched_activated_Bm_CD86,0.9755907875277524,0.868743589554424,0.10684719797332842,8
CD4_Tcm_IFI44L,Unswitched_Bm_CD1C,0.9918668463028154,0.885379692148632,0.10648715415418342,6
CD4_Tn_CXCR5,Switched_Bm_IGHDneg,0.9875249952231422,0.881434182676846,0.10609081254629615,8
CD4_Tfh-like_CXCR5,Unswitched_Bm_CD1C,0.9628227531901589,0.857255408326989,0.10556734486316988,13
CD4_Tn_CXCR5,ncMono_FCGR3A,0.9194949977667441,0.814115972800444,0.10537902496630014,7
Switched_Bm_IGHDneg,ncMono_FCGR3A,0.9425621401369415,0.839078925047585,0.10348321508935654,12
Switched_Bm_IGHE,pDC_IRF4,0.9175124033930556,0.81454007499361,0.10297232839944559,9
Bn_TCL1A,pDC_IRF4,0.9030849496611527,0.801578121734847,0.10150682792630572,15
CD4_Th1-like_GZMK,ncMono_FCGR3A,0.9082775679684216,0.807883307655506,0.10039426031291565,20
Atypical_Bm_ITGAX,gdT2_GZMK,0.9617582087372204,0.86190183807628,0.09985637066094044,6
CD4_Th1-like_GZMK,MK_GP9,0.6741974632679544,0.574589524843453,0.09960793842450133,8
CD4_Treg_FCRL3,MK_GP9,0.6995147487115297,0.600093576124677,0.09942117258685279,6
CD4_Th_CCR4,MK_GP9,0.7543005810398374,0.655325258983663,0.09897532205617443,6
CD4_Tn_CCR7,ncMono_IFIT1,0.7793954176377021,0.680493173870245,0.09890224376745715,6
CD4_CTL_GZMH,CD4_Tn_SOX4,0.9751379442532802,0.876413165384764,0.09872477886851616,6
CD4_Tn_SOX4,Mature_NK_dim_FCGR3A,0.9631868438318749,0.86498289287992,0.09820395095195489,9
CD4_Tcm_IFI44L,Switched_Bm_IGHE,0.9860227108760853,0.890629908132733,0.09539280274335227,6
CD4_Tcm_CXCR5,cMono_IFI44L,0.8879840047674165,0.792931292552417,0.09505271221499945,7
MAIT_SLC4A10,Unswitched_Bm_CD1C,0.9501926006008538,0.855793241321164,0.09439935927968979,11
Switched_Bm_IGHDneg,cMono_CD14,0.9122924404019455,0.818682519513917,0.09360992088802844,12
CD8_Tem_CCR7neg,ncMono_FCGR3A,0.9024712152692023,0.812719737372472,0.08975147789673021,24
NK_bright_XCL1,cMono_CD14,0.9019813037415625,0.812420104577139,0.08956119916442351,8
CD4_Tcm_IFI44L,Switched_activated_Bm_CD86,0.9785862442959595,0.889449855336638,0.08913638895932152,6
Atypical_Bm_ITGAX,CD8_CTL_GZMK,0.94462047524333,0.855640070349889,0.08898040489344106,10
CD4_Tcm_IFI44L,Switched_Bm_IGHDneg,0.9849065867642004,0.896362616083664,0.08854397068053643,6
CD4_Tn_SOX4,cMono_CD14,0.9131684000391583,0.824811060999153,0.08835733904000531,8
CD4_CTL_GZMH,CD4_Tcm_IFI44L,0.9866970507173904,0.898459736435457,0.08823731428193349,6
DC2_CD1C,gdT2_GZMK,0.8801801651497473,0.792234544093791,0.08794562105595627,6
Atypical_Bm_ITGAX,ncMono_FCGR3A,0.9116761437425946,0.824159372697714,0.08751677104488065,10
CD4_Th17-like_RORC,pDC_IRF4,0.9118985206467792,0.825347736597319,0.08655078404946026,13
CD4_Tn_SOX4,ncMono_C1QA,0.8903376661755066,0.804160074016549,0.0861775921589576,6
CD4_Treg_FOXP3,Switched_Bm_IGHE,0.9634356932587915,0.877770347841239,0.08566534541755255,10
Bn_TCL1A,CD4_Tn_CXCR5,0.9094410645161352,0.824100706460526,0.08534035805560913,11
CD4_Tfh-like_CXCR5,MK_GP9,0.6171583587781667,0.532020717868149,0.08513764091001774,10
CD4_Treg_FCRL3,Unswitched_Bm_CD1C,0.965088490187563,0.880668005936814,0.084420484250749,10
CD4_Treg_FCRL3,Switched_Bm_IGHE,0.9681058575173557,0.883749942470894,0.08435591504646167,9
CD4_Th22-like_CCR10,Transitional_B_MME,0.9529045506520422,0.868847664785613,0.08405688586642912,8
CD4_Tn_SOX4,Switched_Bm_IGHE,0.9633478725353731,0.881358740735055,0.08198913180031808,8
Terminal_NK_dim_CD160neg,cMono_IL1B,0.8320630444103099,0.750451375090487,0.08161166931982289,6
CD4_Tn_CXCR5,Switched_Bm_IGHE,0.9612733234424325,0.880197121035324,0.08107620240710856,7
CD4_CTL_GZMH,Transitional_B_MME,0.9372002686265078,0.8572986390959,0.07990162953060786,8
CD8_Tn_CCR7,Unswitched_Bm_CD1C,0.935921318860763,0.85621799248221,0.07970332637855304,12
Transitional_NK_GZMK,Unswitched_Bm_CD1C,0.9190481131921855,0.839386185781798,0.07966192741038747,8
CD4_Tcm_IFI44L,Transitional_B_MME,0.9649999132316562,0.885586095798338,0.07941381743331821,6
Switched_activated_Bm_CD86,gdT2_GZMK,0.9359159114822957,0.856560611005751,0.07935530047654471,8
gdT2_IL12RB2,ncMono_FCGR3A,0.8976540518185273,0.819325751930671,0.07832829988785628,17
CD4_Tcm_CXCR5,ncMono_C1QA,0.8865298289735926,0.808274581323494,0.07825524765009861,13
CD4_Tn_CXCR5,Unswitched_Bm_CD1C,0.9570953580996159,0.879736509811009,0.07735884828860684,8
Switched_Bm_IGHDneg,gdT2_GZMK,0.9504501160628697,0.874081641127488,0.07636847493538168,8
DC2_CD1C,NK_bright_XCL1,0.8937829473186099,0.818285613569698,0.07549733374891188,6
CD4_Tn_SOX4,gdT2_GZMK,0.972102247945614,0.896931486614086,0.075170761331528,6
ncMono_FCGR3A,pDC_IRF4,0.8421998981704201,0.768121709474429,0.07407818869599103,14
CD4_Th_LMNA,Switched_activated_Bm_CD86,0.967478953171142,0.89341133868735,0.07406761448379195,9
CD8_Tn_CCR7,Switched_Bm_IGHE,0.9300008349333129,0.855953689858755,0.0740471450745579,11
CD8_Tcm_IFI44L,gdT2_GZMK,0.9875822591887012,0.916174389081344,0.07140787010735727,8
CD4_Tcm_IFI44L,MAIT_SLC4A10,0.9930778806171815,0.921726215115862,0.07135166550131955,7
CD4_Tcm_IFI44L,CD8_CTL_GZMB,0.970629124495006,0.899396978812473,0.071232145682533,7
CD4_Th_TNFRSF11A,Terminal_NK_dim_CD160neg,0.9508151917099196,0.88037010611395,0.07044508559596963,9
CD8_CTL_GZMK,Switched_Bm_IGHDneg,0.9516249945401597,0.885381251558412,0.06624374298174773,15
Unswitched_Bm_CD1C,gdT2_IL12RB2,0.915059417994379,0.848890310310636,0.06616910768374296,10
CD4_CTL_GZMH,CD8_Tcm_IFI44L,0.9701893913439338,0.904024188769793,0.06616520257414082,9
CD4_Tfh-like_CXCR5,ncMono_FCGR3A,0.8627161172090233,0.797553053640196,0.06516306356882728,20
CD8_CTL_GZMK,ncMono_FCGR3A,0.8864772184282119,0.822523819293237,0.06395339913497489,15
Atypical_Bm_ITGAX,Switched_Bm_IGHDneg,0.9954720297530247,0.932928388746421,0.0625436410066037,11
CD4_Tn_CXCR5,MK_GP9,0.6757352891006838,0.614053847550012,0.06168144155067179,5
CD4_Treg_FOXP3,Unswitched_Bm_CD1C,0.9359979554492244,0.877512465736791,0.05848548971243339,9
CD4_Th_TNFRSF11A,cMono_IL1B,0.8419974218578382,0.783640993476213,0.05835642838162525,7
CD8_CTL_GZMK,Unswitched_Bm_CD1C,0.9380902823190966,0.880589764869678,0.05750051744941864,10
CD8_CTL_GZMB,ncMono_FCGR3A,0.8591488955697791,0.801844932121842,0.05730396344793709,25
Atypical_Bm_ITGAX,gdT2_IL12RB2,0.9037467182723011,0.846464779407524,0.05728193886477717,9
CD4_Tn_CXCR5,cMono_CD14,0.8946645441115683,0.837793335088835,0.05687120902273324,10
cMono_CD14,ncMono_IFIT1,0.9249334022051459,0.868270349358187,0.05666305284695883,5
CD4_Tfh-like_CXCR5,pDC_IRF4,0.8677030885763942,0.811479556409287,0.05622353216710718,13
CD4_Th22-like_CCR10,CD8_Tcm_IFI44L,0.9824792135012305,0.926395057861844,0.05608415563938651,10
cMono_CD14,cMono_CXCL10,0.9896132856823109,0.933750968539689,0.05586231714262191,5
CD4_Tcm_IFI44L,CD4_Tn_CCR7,0.9938544064903504,0.938343382447417,0.0555110240429334,8
gdT2_GZMH,ncMono_C1QA,0.8710427120922186,0.815574116105497,0.0554685959867216,15
CD4_Tn_SOX4,NK_bright_XCL1,0.9441800224723476,0.889663408033249,0.05451661443909861,5
Switched_Bm_IGHE,Transitional_NK_GZMK,0.8907700657276579,0.836463798331679,0.05430626739597888,6
CD4_Tn_CXCR5,CD4_Treg_FOXP3,0.9920094687984025,0.937755967382191,0.054253501416211436,11
CD4_Tn_CCR7,ncMono_FCGR3A,0.8148788936264216,0.761056852605451,0.05382204102097066,26
