cell_type,coupling_complexity,mean_rb,max_rb,std_rb,coupling_breadth,concentration,n_disease_associations
CD4_Tcm_IFI44L,6.023320378845139,0.8881021259389834,0.955544331172993,0.05149292559581805,66,0.1436080082311867,7
CD4_Treg_FOXP3,6.02310978639232,0.8713307437788648,0.944621431522317,0.06055825458989184,59,0.14337345520130795,12
CD4_Tn_LIMS1,6.022620372443651,0.8765892429347826,0.954027099624687,0.053953061189720423,64,0.14600938100487015,8
CD4_Th_TNFRSF11A,6.022159924798352,0.877817152108239,0.970989694836395,0.06888920355424566,59,0.14560022659495764,17
CD4_CTL_GZMH,6.021095122904709,0.8691382613024871,0.962896403974396,0.06715771583381575,58,0.1509483007687017,16
CD4_Th_LMNA,6.019097260926009,0.8831217775903819,0.970989694836395,0.06304502018679274,61,0.15082882979995582,10
CD8_CTL_GZMK,6.018822205959481,0.8796298502851395,0.96223649450575,0.06769112737492408,57,0.15023977849024117,8
CD4_Tn_SOX4,6.018689184181891,0.8692782291309576,0.952625510767764,0.06055138995246381,59,0.15164503016048003,8
Mature_NK_dim_FCGR3A,6.017205775212027,0.8317805029483168,0.974040973021619,0.09378814498517313,49,0.14095075581251426,30
HSPC_CD34,6.012169029545668,0.7934820338634339,0.865039789998317,0.047298650491442704,31,0.13834060208982046,3
CD8_Tn_SOX4,6.012102259137291,0.8766312146978501,0.952625510767764,0.042651233762674774,64,0.16020303599186825,6
CD8_CTL_IFI44L,6.004532481733381,0.8465158323498846,0.938389556377885,0.04633433684987037,61,0.17461472129750266,1
Bn_IL6,6.002514656184192,0.8145859082368849,0.948135428344402,0.05577983290431222,33,0.17160230538974863,5
DC1_CLEC9A,5.990104274705491,0.71733338991811,0.88180115574885,0.10724186329907362,20,0.18261809169582344,3
CD4_Tr1_IL10,5.952299386715253,0.782634614950132,0.935040430924721,0.24699713566557055,56,0.11321945854848314,4
Immature_T_CABP4,5.951887165245979,0.7622216229420411,0.898970467147934,0.241237759627978,54,0.11425079366571589,3
CD4_Th22-like_CCR10,5.9513654630501245,0.8068075910751837,0.965200483658291,0.2563654931727128,60,0.11873376093665577,17
pre-Switched_Bm_JAM3,5.949462343217861,0.7690585167255848,0.965048165049285,0.24743654512892818,53,0.12136760780402012,8
CD4_Th17-like_RORC,5.949341985440088,0.7938104618598305,0.96069556489977,0.25583414164137813,52,0.12769476660634316,21
CD4_Th1-like_GZMK,5.948779542317718,0.7964122435251711,0.961203283468575,0.25765215697692667,53,0.1296695611205897,28
CD4_Tfh-like_CXCR5,5.947424261477284,0.7855945854897545,0.96470870317856,0.2564950169002172,48,0.134821694611576,27
Proliferative_NK_MKI67,5.933936300142502,0.7835277902657953,0.909205442543776,0.06938085698245419,33,0.24135180603149065,2
Bn_IFIT3,5.9328761776217505,0.8128396634908479,0.944462295724109,0.05439298558968973,33,0.249184312602032,4
CD4_Th_CR1,5.879023465437182,0.7440244808378682,0.927071609711893,0.0847386470322628,16,0.2936432446368147,3
ILC2_IL2RA,5.770192459138215,0.7481676066453788,0.935040430924721,0.11776821765780227,31,0.3525575572169247,2
MK_GP9,5.750431058193752,0.522980682860828,0.750601894030731,0.1156265977377674,0,0.37496398181729873,6
