cell_type,caqtl_mean_rb,caqtl_cv,caqtl_entropy,caqtl_n_pairs,celltype,n_disease,eqtl_mean_rb,eqtl_cv,eqtl_entropy
CD4_Tn_CCR7,0.817488225961039,0.13514090853448343,6.253196293155504,77,CD4_Tn_CCR7,115,0.8349942812906056,0.11589989615890128,7.001027782129778
CD4_Tr1_IL10,0.5771344728108109,0.07834531862946345,5.204968331683518,37,CD4_Tr1_IL10,7,0.8583734486549834,0.051186580956922766,5.952299377381773
CD4_Treg_FCRL3,0.7952216526103897,0.1233437571966054,6.255460503368081,77,CD4_Treg_FCRL3,18,0.8518708041971772,0.10785158956073614,7.002312396514153
CD4_Treg_FOXP3,0.8425951441428571,0.11857880589605917,6.256159768729,77,CD4_Treg_FOXP3,26,0.8542902658436766,0.10003806174530244,7.0035301946451
CD8_CTL_GZMB,0.8271567468311688,0.13874896852980545,6.252424936329558,77,CD8_CTL_GZMB,98,0.8391509981067767,0.11014082187198594,7.002032891130765
CD8_Tem_CCR7neg,0.8366248078831168,0.1412415790529845,6.2518493233009185,77,CD8_Tem_CCR7neg,91,0.8584908450461817,0.10994552248688452,7.001969777966017
CD8_Tn_CCR7,0.814020270025974,0.13441192008512787,6.253313945188745,77,CD8_Tn_CCR7,87,0.8417216324982914,0.11490223324678875,7.0011729004564645
DC2_CD1C,0.7657088679350649,0.11897373338357865,6.2566301182004755,77,DC2_CD1C,60,0.8131882812443169,0.08395792868372591,7.005739947573726
MAIT_SLC4A10,0.8370715201428572,0.13740539266852753,6.252551144275062,77,MAIT_SLC4A10,80,0.849176863379401,0.10886361296798382,7.002153729502023
MK_GP9,0.7045551646883116,0.23568617502195305,6.227157287366763,77,MK_GP9,7,0.5156532649845172,0.2128213785059172,6.979163793219652
Mature_NK_dim_FCGR3A,0.8196310695064936,0.12701765885466434,6.254760987318854,77,Mature_NK_dim_FCGR3A,96,0.8217280722031542,0.11207140603774209,7.001767584502515
NKT_NCR1,0.8262765145584414,0.13021208413146704,6.254187672959148,77,NKT_NCR1,93,0.8362208506552868,0.1093972780697182,7.002211569453278
NK_bright_XCL1,0.7998927120389611,0.10888378866306,6.257689893081034,77,NK_bright_XCL1,14,0.8384025503665449,0.09318230055246386,7.0044041871566645
Plasma_IGHA1,0.8026328117532467,0.12833527183264384,6.254306851007037,77,Plasma_IGHA1,9,0.7740271150276992,0.08343801499146108,7.00592379571351
Proliferative_T_MKI67,0.6668458629610389,0.23636156621140544,6.227206800147896,77,Proliferative_T_MKI67,8,0.8323288660603227,0.09329329631594777,7.004466130611579
Switched_Bm_IGHDneg,0.8133881874415585,0.12788953141850243,6.254226490699712,77,Switched_Bm_IGHDneg,32,0.8410016022927538,0.09589874138925861,7.003989653592956
Switched_Bm_IGHE,0.8034558514545455,0.1211977124876943,6.255611922999857,77,Switched_Bm_IGHE,17,0.8361149022299571,0.09793772581515647,7.003709070357983
Switched_activated_Bm_CD86,0.8057263137922078,0.12241666266672666,6.2552713134798665,77,Switched_activated_Bm_CD86,28,0.8357916162204099,0.09213036962013131,7.0045942003580315
Transitional_B_MME,0.8031552384675325,0.12769736401675089,6.254276691714364,77,Transitional_B_MME,43,0.8230631596656038,0.10166084327453229,7.003249902354996
Transitional_NK_GZMK,0.8320840646363635,0.11960918697304956,6.25589117343351,77,Transitional_NK_GZMK,21,0.838768659771543,0.10241352020565388,7.003261534506904
Unswitched_Bm_CD1C,0.7992147053766233,0.13433940313018722,6.252834603413609,77,Unswitched_Bm_CD1C,21,0.8367324548850952,0.09734975664719299,7.003836222301672
cMono_CD14,0.7440160004155844,0.1363985090032756,6.253889818520163,77,cMono_CD14,153,0.7916119724601037,0.1064839090475691,7.002798187133154
cMono_IFI44L,0.7496476503896105,0.13188103663950468,6.2546578498131975,77,cMono_IFI44L,41,0.7851364897959662,0.100880026871796,7.003683843307301
cMono_IL1B,0.6233216981688312,0.23205313215018886,6.229244391555726,77,cMono_IL1B,11,0.778224577516653,0.10156140777206754,7.0036400082005725
gdT2_GZMH,0.8415862174155844,0.12368480160589466,6.255362120265606,77,gdT2_GZMH,42,0.8491228554968034,0.10867425027166758,7.00214686368587
gdT2_IL12RB2,0.8380756678441557,0.13537810140438686,6.252952364544714,77,gdT2_IL12RB2,46,0.8557701637386448,0.10891701539806191,7.002136796608575
intMono_GFRA2,0.7498490498831167,0.13896619850492833,6.253170870345092,77,intMono_GFRA2,20,0.7769875057586147,0.10054320195620209,7.003764510845873
ncMono_C1QA,0.7587831401558442,0.1304824156978543,6.254785393797354,77,ncMono_C1QA,22,0.7871386648486745,0.10264241556692881,7.0033463337278015
ncMono_FCGR3A,0.755085857961039,0.12358813327182236,6.255963485795531,77,ncMono_FCGR3A,55,0.7882984385225831,0.10138008014899064,7.003475258996895
pDC_IRF4,0.739317871038961,0.10650787031539412,6.258077605428394,77,pDC_IRF4,20,0.7568122207627752,0.08946206717450561,7.0050084889872775
pre-Switched_Bm_JAM3,0.7463965301891893,0.07201874988408878,5.2058224777081366,37,pre-Switched_Bm_JAM3,21,0.8434835344732221,0.07904446275414016,5.949462333877062
