,AT2,AT1,Transitional AT2,Ciliated,Basal,KRT5-/KRT17+,Differentiating ciliated,Proliferating - Epi,Secretory - SCGB1A1+/SCGB3A2+,Secretory - SCGB3A2+,Secretory - SCGB1A1+/MUC5B+,Alveolar macrophage,Monocyte-derived macrophage,Monocyte,Interstitial macrophage,cDC1,Mast,Plasma,Proliferating - Imm,Inflammatory monocyte,CD4,CD8/NKT,pDC,moDC,NK,B cells,cDC2,Venule,Systemic venous,Lymphatic,aCap,gCap,Arteriole,Alveolar FB,Pericyte,SMC,Adventitial FB,Mesothelial
Secretory - SCGB1A1+/MUC5B+,0.9394850355644412,0.9139460782732522,0.9463304611693065,0.9074325770414303,0.9547861626576617,0.9057293670823178,0.9387553419902556,0.9434983879806524,0.9626698367800468,0.9557602780282128,1.0,0.6702608312724282,0.6797695581250216,0.7072586197707106,0.7516580128909444,0.7551012312822293,0.7252328514465551,0.834170877999386,0.6989086705741409,0.6918987058066463,0.8206489668485667,0.808140253842348,0.8034087195892972,0.6783790620260327,0.7949779421096785,0.7776879948748806,0.706976976688559,0.8821975717138715,0.8861475551670327,0.8179050939072212,0.8502258126650519,0.8496106610462325,0.8475670376052273,0.8597759071579733,0.7997242977027018,0.8024842796644479,0.8756275700017399,0.8990732223284013
Alveolar macrophage,0.6828450506707997,0.6547271683869297,0.66458782273009,0.6379667048953623,0.6757191037761718,0.6901901885399593,0.6024879850368492,0.622949734692772,0.6638630463152138,0.678401576683764,0.6702608312724282,1.0,0.9707419251108513,0.9481213206154072,0.9454061888375435,0.9067324029283029,0.9136151876265352,0.785546094222164,0.9487449886061787,0.9610042547610642,0.8283731090831908,0.8413431053850745,0.839565919146385,0.9649444940691524,0.8451793243759008,0.819605436062611,0.9483196788161632,0.7653846802000313,0.7774796427924863,0.7845587199026284,0.7811939208326115,0.7260205871602867,0.7737213939194577,0.7679714026066912,0.7669252791732077,0.7719384835484433,0.7206471204821213,0.7028734443905181
Monocyte-derived macrophage,0.6908982505030922,0.6536171500516637,0.6750519315172494,0.6404951097638997,0.6855643191191202,0.6982881963053811,0.6059371934807076,0.631532252681833,0.6713336897841479,0.6861295730086222,0.6797695581250216,0.9707419251108513,1.0,0.9584484715379243,0.9586763576931445,0.9053897988969163,0.918652356486789,0.7908822430314275,0.9542357820679005,0.9704090907995364,0.8307338222465461,0.8437870360185495,0.8377721112269961,0.9693008098281521,0.84764969276428,0.8178707586272473,0.9536484534500052,0.7673519611341519,0.7778374421195067,0.7775736802912961,0.7734925437884035,0.7214844058112346,0.7683547286496862,0.7596214454114428,0.7604025952016897,0.7670924545583652,0.7178958449640146,0.700597778486326
Monocyte,0.7049473400380442,0.6616186103992736,0.694981158793929,0.6665676386995754,0.7196439784056314,0.724788758704541,0.6408389887693461,0.6692874050710003,0.7000306688338334,0.7054963366767029,0.7072586197707106,0.9481213206154072,0.9584484715379243,1.0,0.9559670457381164,0.9094646606973834,0.9385940627150088,0.8434894076205791,0.9528605109604111,0.9692863603548177,0.877004366931521,0.8908487505734075,0.88480961604069,0.960239110942223,0.8908240134061951,0.8589755205249517,0.954037125041666,0.802562707110286,0.8060334514380166,0.7928592301794775,0.7974117854268331,0.7568122037672423,0.7951276027894101,0.7736840898225318,0.7676794086926181,0.7820085821128039,0.7261229860709707,0.7229424031590937
Interstitial macrophage,0.7570302913048934,0.7135195049842072,0.7471652708895145,0.6958080540405654,0.76016200941936,0.7668311677154415,0.6800907454946455,0.7090366638444807,0.744715441315439,0.7560662041446784,0.7516580128909444,0.9454061888375435,0.9586763576931445,0.9559670457381164,1.0,0.9092988297683651,0.9311136013758501,0.8489824934240549,0.950341115598055,0.9514763470807353,0.8775907088550037,0.8832135246590868,0.8829606182120728,0.9510893775105607,0.8896713389846346,0.8613657316258921,0.942482313350032,0.8248862782109088,0.8324431647088253,0.8148360018287825,0.817605097477832,0.77541484848781,0.8168541197513219,0.8057268752091494,0.7937527455235655,0.8074238525162902,0.7689996582953706,0.7591463842991898
cDC1,0.7478839460881607,0.7361164478097179,0.7374938105438708,0.7336238628642278,0.7597413679808251,0.7539655180102219,0.7007363376426519,0.716144126982608,0.7437031089252545,0.7449761291360779,0.7551012312822293,0.9067324029283029,0.9053897988969163,0.9094646606973834,0.9092988297683651,1.0,0.8922937423806027,0.8408215593141486,0.9136546770611426,0.9104544981216579,0.8653414480726905,0.8762731769059317,0.8622229606318225,0.9079526879735174,0.8693500642967065,0.8502357022510355,0.9225735846466451,0.8304018308297995,0.8393571406530741,0.838297321788116,0.8428689581408693,0.8056031177837997,0.8347212429345708,0.8278633728113428,0.8143617822445495,0.8287675631198689,0.7923125773477137,0.7805192145047721
Mast,0.7295019580788118,0.6966686874084351,0.7246868818116097,0.667335654042952,0.7423044460010162,0.7635567224872976,0.6551113505186946,0.7004707705369448,0.7264492943518642,0.7293349795153631,0.7252328514465551,0.9136151876265352,0.918652356486789,0.9385940627150088,0.9311136013758501,0.8922937423806027,1.0,0.8703587535568931,0.9330523898255273,0.9306752246785974,0.904456579228104,0.9021881652976165,0.9022650790605019,0.9327953477407794,0.9090958346981429,0.8771987203989489,0.9202057520951266,0.8381183062073908,0.8382269482435339,0.8338815622030059,0.8329559628366648,0.8045589805328495,0.8390846242063298,0.8159899676577795,0.8144154917517635,0.8281728238806282,0.772375556091178,0.7585703779938844
Plasma,0.812601016805092,0.8049263316261477,0.828405967818872,0.7811577081702475,0.8512460512307175,0.8568684545057684,0.7922594380585543,0.8277381507750784,0.8341987883720612,0.8286641754433315,0.834170877999386,0.785546094222164,0.7908822430314275,0.8434894076205791,0.8489824934240549,0.8408215593141486,0.8703587535568931,1.0,0.8301843448921765,0.8179855020197293,0.9275743906191911,0.9220779004869007,0.9146921105904902,0.8114223857880692,0.9249253348480265,0.9007090711234589,0.8324348650083733,0.9111060987188722,0.9044890987942134,0.8682312215113842,0.8818918169899449,0.8792248367851829,0.8918719819648343,0.8681169908717424,0.8487447816068249,0.8645222030438151,0.8457139024705674,0.8577284721055637
Proliferating - Imm,0.7021644799864268,0.6713547320674759,0.6905536829769767,0.6621837842306352,0.7100576048230691,0.7236716446324765,0.6306398276023003,0.669105814561204,0.6899633258344752,0.6991603658538473,0.6989086705741409,0.9487449886061787,0.9542357820679005,0.9528605109604111,0.950341115598055,0.9136546770611426,0.9330523898255273,0.8301843448921765,1.0,0.9567590488313188,0.8703162713711174,0.8819790194319784,0.8714142887139448,0.9572195492840588,0.8840016949258411,0.8536658320730592,0.9482706395151984,0.8017493765698811,0.8061666977338485,0.8095641076853323,0.8091641041511345,0.7679255847956067,0.8067245635649191,0.7841640734490163,0.7839008813697589,0.8001791502863878,0.7447120150958393,0.7338205565705443
Inflammatory monocyte,0.6917074113307657,0.6611875913957237,0.6800226914285874,0.6522460994175736,0.6966979856080461,0.7078927326258001,0.6229339287597172,0.6458341308579202,0.6809843190363272,0.6917828226174809,0.6918987058066463,0.9610042547610642,0.9704090907995364,0.9692863603548177,0.9514763470807353,0.9104544981216579,0.9306752246785974,0.8179855020197293,0.9567590488313188,1.0,0.8570400241077477,0.8716159679901094,0.8613639909653874,0.9701636432493757,0.8724698065079864,0.839541024831564,0.9567229576604391,0.7861143037402701,0.7901040085711637,0.7934369102137911,0.7923231244417924,0.7417703784550003,0.7858241451029274,0.7719239583061259,0.7699813694164042,0.7797682777460465,0.7247891073244764,0.7155610619399668
