,Atypical_Bm_ITGAX,Bn_IFIT3,Bn_IL6,Bn_TCL1A,CD4_CTL_GZMH,CD4_Tcm_CXCR5,CD4_Tcm_IFI44L,CD4_Tem_CCR7neg,CD4_Tfh-like_CXCR5,CD4_Th1-like_GZMK,CD4_Th17-like_RORC,CD4_Th22-like_CCR10,CD4_Th_CCR4,CD4_Th_CR1,CD4_Th_LMNA,CD4_Th_TNFRSF11A,CD4_Tn_CCR7,CD4_Tn_CXCR5,CD4_Tn_LIMS1,CD4_Tn_SOX4,CD4_Tr1_IL10,CD4_Treg_FCRL3,CD4_Treg_FOXP3,CD8_CTL_GZMB,CD8_CTL_GZMK,CD8_CTL_IFI44L,CD8_Tcm_IFI44L,CD8_Tem_CCR7neg,CD8_Tn_CCR7,CD8_Tn_SOX4,DC1_CLEC9A,DC2_CD1C,DC_CSF2RA,HSPC_CD34,ILC2_IL2RA,Immature_T_CABP4,MAIT_SLC4A10,MK_GP9,Mature_NK_dim_FCGR3A,NKT_IFNG,NKT_NCR1,NK_bright_XCL1,Plasma_IGHA1,Plasma_IGHG1,Plasmablast_MKI67,Proliferative_NK_MKI67,Proliferative_T_MKI67,Switched_Bm_IGHDneg,Switched_Bm_IGHE,Switched_activated_Bm_CD86,Terminal_NK_dim_CD160neg,Transitional_B_MME,Transitional_NK_GZMK,Unswitched_Bm_CD1C,Unswitched_Bm_IL6,cMono_CD14,cMono_CXCL10,cMono_IFI44L,cMono_IL1B,gdT1_TRDV1,gdT2_GZMH,gdT2_GZMK,gdT2_IL12RB2,intMono_GFRA2,ncMono_C1QA,ncMono_FCGR3A,ncMono_IFIT1,pDC_IRF4,pre-Switched_Bm_JAM3
CD4_Treg_FOXP3,0.843968622677613,0.788196772512406,0.793331705433587,0.837400119447236,0.916536999116945,0.936556556250142,0.935488269475267,0.936173624276073,0.939389136493527,0.929377506204086,0.929209347003513,0.942285935457946,0.931685368564314,0.715674445475037,0.944621431522317,0.932656156800956,0.896124240978815,0.937755967382191,0.927939543584624,0.921398772032118,0.896255317348883,0.93863903478277,1.0,0.901701374033103,0.937594481544682,0.891712166507331,0.930469871784352,0.931134131323767,0.924807875696259,0.899207584782227,0.795073533457162,0.830906393814794,0.82805177122657,0.829545760900381,0.849997487847274,0.87355324421219,0.920906175871648,0.643046840137242,0.880926360080473,0.883364784654553,0.899544823384477,0.882702053854964,0.833952071030647,0.837865447193292,0.747586880610418,0.839490385266056,0.886104807339077,0.878506406087214,0.877770347841239,0.889073686747949,0.873629651292922,0.86869251729482,0.894631152735361,0.877512465736791,0.850874016372945,0.8449314561078,0.797385089860594,0.814142381177516,0.803292455368959,0.89294570175195,0.919733336986913,0.911845726575114,0.927111992735163,0.786386410464118,0.819038052115245,0.822739532558963,0.769434621544928,0.831193772042509,0.849708624190478
CD8_CTL_GZMB,0.832722925880978,0.776481586617385,0.779481401471427,0.834578728906117,0.962193189655541,0.899829560782137,0.899396978812473,0.921295372818089,0.914105562093277,0.929260074592006,0.914272298369668,0.909908249195598,0.883819989461674,0.706704772825482,0.913075664484163,0.90776836990565,0.885156480788012,0.894945144227013,0.876315141772045,0.877305906136077,0.878451632784623,0.888105953944842,0.901701374033103,1.0,0.933249998236967,0.903094783763077,0.890897062619437,0.956618394298422,0.892039615505035,0.830976390443018,0.696011865009335,0.811036075767686,0.780302868650424,0.731008224206724,0.797889469988751,0.853388842139499,0.933859076765461,0.513188179322968,0.937480465033459,0.934425267284444,0.964502702984168,0.886209529922175,0.795132973974211,0.788708803576691,0.711000856675178,0.868676318256197,0.893797679629991,0.844257392733764,0.829388996942045,0.846740389467888,0.935802552690173,0.8347983494329,0.920782188139562,0.834922654184823,0.741605131726729,0.825060969324294,0.705799447041105,0.767299971829951,0.750108971241781,0.850656859647719,0.96207921667319,0.9302159714478,0.953772358404243,0.735801293836437,0.794290804398506,0.801844932121842,0.72017647253583,0.790184094591117,0.82855570532896
CD8_CTL_GZMK,0.855640070349889,0.794008923337145,0.795255778961827,0.832057856321848,0.950406845352179,0.939534987449021,0.932400189560726,0.948115084117604,0.941250678551638,0.960059030085745,0.94724264854192,0.946340014697967,0.921908876788448,0.721767227090717,0.949323438518625,0.951719250849855,0.906211210633906,0.936805874849069,0.921076373113936,0.922696032073956,0.894790367423103,0.938133085960841,0.937594481544682,0.933249998236967,1.0,0.938389556377885,0.93468229837603,0.96223649450575,0.913485783123222,0.909357912742292,0.80350817210385,0.834882552718764,0.790733662225934,0.789478002526618,0.864802546180862,0.881080314089495,0.954775718850878,0.634475390329709,0.914739232613,0.929674015823743,0.929846341598373,0.90453175454543,0.841091389069737,0.843148414645125,0.767157089074248,0.880529250999315,0.897359177111734,0.885381251558412,0.873504374407267,0.881955478989926,0.908250193922112,0.874372750386552,0.927691776470949,0.880589764869678,0.841748630003675,0.841936159872492,0.775205661160789,0.816013676420501,0.796962865891608,0.906769146243345,0.942208536489894,0.944550084009447,0.956998017070318,0.781441650561835,0.819112887896052,0.822523819293237,0.760347726804243,0.828523543478777,0.851188429544777
CD8_CTL_IFI44L,0.854501570831973,0.833992798160738,0.834168739212732,0.799854719811188,0.932469331246012,0.886183296855865,0.927180907294904,0.888154116923174,0.881986470012843,0.905886124116653,0.90194391558645,0.929217217074942,0.914920889231094,0.779116702281731,0.897185227562142,0.882054895106215,0.846104211088668,0.89058078527734,0.916291753173923,0.890937002338176,0.921611206018385,0.887972512617115,0.891712166507331,0.903094783763077,0.938389556377885,1.0,0.830584609867021,0.859355991005303,0.845462698761424,0.816973006827999,0.807589490564566,0.828202889297408,0.83306812329524,0.813798919661319,0.897508197132532,0.825578806361792,0.855491978981144,0.750601894030731,0.841397005709524,0.842105536620468,0.850306181906965,0.843069153045164,0.806155821204794,0.817479785589806,0.699665372363282,0.827304402590201,0.846327748475172,0.815599142149422,0.810349604253892,0.824152060645121,0.826269862961816,0.831587509793462,0.846457847654094,0.816811915555853,0.824086660033368,0.808737244721857,0.804247866304662,0.822855664968744,0.80081425667077,0.848955447300471,0.853073641159939,0.861350867639709,0.865852900375623,0.792804381442269,0.82478380381166,0.826505546194273,0.793198933858264,0.748715380891953,0.842327549642534
CD8_Tcm_IFI44L,0.849184668474445,0.78548394459365,0.789398937331021,0.831121885466058,0.904024188769793,0.948106621823,0.944814211868052,0.938267215376326,0.935669663160757,0.936996840181644,0.932569930257539,0.926395057861844,0.907130726146784,0.724982075032102,0.937746786774465,0.941638283237504,0.941852213767137,0.945819705308339,0.931132235031337,0.944238651542251,0.898358971932193,0.948390587161419,0.930469871784352,0.890897062619437,0.93468229837603,0.830584609867021,1.0,0.942744779866168,0.965195153075764,0.946493029964687,0.81112922501561,0.855983105880267,0.843389997233518,0.848187582636339,0.894247306025583,0.892279252178885,0.934776149128621,0.644094815179661,0.904059649665569,0.885602207359286,0.90394264430603,0.903484035088295,0.841842503597456,0.844630481239396,0.738218697855387,0.845483542720215,0.878500388441299,0.900172981412794,0.900381759308528,0.894668685185249,0.888084818128722,0.883378287726653,0.909849006677292,0.895270778805045,0.861204481425831,0.860337776483436,0.790730227485643,0.832002260866636,0.822483978837416,0.938551893770502,0.914375344952748,0.916174389081344,0.931143202426365,0.803518419994333,0.829820719308271,0.831671001937402,0.774571613263392,0.845206667021206,0.856688909348793
CD8_Tem_CCR7neg,0.844942510170666,0.785570241454691,0.797217936615453,0.851588007079207,0.956409821330659,0.938141326815834,0.926903216598012,0.948347321458065,0.949661439764611,0.956858219353612,0.941216105291759,0.93525214762146,0.913875913555706,0.723713961164534,0.938140582642762,0.938164555655024,0.919952303709242,0.925290969745851,0.911383827775408,0.910854357856216,0.891394517618619,0.923997227216732,0.931134131323767,0.956618394298422,0.96223649450575,0.859355991005303,0.942744779866168,1.0,0.936503021117943,0.885249992594936,0.761777205103657,0.828918282724943,0.799170657520292,0.785797830982491,0.86041301193749,0.876920914084434,0.95846021440577,0.53919684126012,0.923554645250199,0.92385678140601,0.946492780314523,0.902936452345077,0.805581529072613,0.809950442552045,0.750444078205296,0.875992511123986,0.90003194159611,0.876125800598572,0.863548521294083,0.878634235393947,0.908999472153847,0.866441282288188,0.923405239214889,0.868791395356525,0.811436745277099,0.837785063677814,0.734692870674838,0.774824032131244,0.759447653500318,0.898744991599527,0.952107437132564,0.941928426371936,0.967881824173599,0.744368326309098,0.803903772980298,0.812719737372472,0.728960451210952,0.814900992075173,0.852590300711651
CD8_Tn_CCR7,0.837516866552294,0.758490267422277,0.78810716978713,0.845363511976734,0.889690215545043,0.953162608952457,0.937076383015587,0.94734298547911,0.954885721037988,0.942642331233812,0.934984312207517,0.916917908050452,0.904519673236953,0.725952897528882,0.928596890286848,0.936568025157558,0.975479209035754,0.941642762161579,0.926561786348217,0.943181572201732,0.894367035627987,0.946350659316687,0.924807875696259,0.892039615505035,0.913485783123222,0.845462698761424,0.965195153075764,0.936503021117943,1.0,0.934436686878336,0.757088673390817,0.806045457154724,0.775773836140475,0.785443047990707,0.849506360322156,0.898970467147934,0.922267843410725,0.497788878143838,0.875271335457334,0.847643413245989,0.874784238305402,0.86585049681581,0.778434646220471,0.760842585258595,0.723904224201835,0.785059177333085,0.833438615770997,0.863266106133577,0.855953689858755,0.85769062473801,0.83493626370875,0.857736559412013,0.861909081702763,0.85621799248221,0.805739105687644,0.808666029140446,0.686411306672371,0.752642710269863,0.735314508996934,0.915782743626676,0.885546050154813,0.884026791594468,0.911541509272023,0.708270650678324,0.76287983870117,0.788858009247473,0.683545545326326,0.810014046127415,0.84842486740905
CD8_Tn_SOX4,0.853834795611119,0.789437868664244,0.830859300791909,0.795484386105584,0.87042014510346,0.906603099870393,0.9423602573057,0.898724189790226,0.88794600132789,0.893001564660261,0.890669921861099,0.912060371746862,0.910557418795113,0.788819627809723,0.91629171646428,0.916337016549116,0.91018781268891,0.928661765899615,0.941772918771482,0.952625510767764,0.908463476121605,0.932077485040204,0.899207584782227,0.830976390443018,0.909357912742292,0.816973006827999,0.946493029964687,0.885249992594936,0.934436686878336,1.0,0.88180115574885,0.870789152053686,0.866557966591194,0.865039789998317,0.922358590400818,0.848030190866106,0.894556521319881,0.730482822790153,0.887372726888649,0.902516931418619,0.888048716400015,0.890598110864289,0.860201281966029,0.850907626637002,0.802567379517547,0.87075925107428,0.86874365395782,0.879627727776986,0.890833339267726,0.877266224806137,0.861094607121009,0.876408882953608,0.905146464526675,0.888370796223694,0.904478670568175,0.855671555895495,0.815723634550011,0.858992447820772,0.853445353309254,0.922296304381688,0.890388454768884,0.899557432430273,0.895749101357628,0.853464507113343,0.846001773282191,0.85868195383279,0.803543456797218,0.818918365846008,0.854038420350932
DC1_CLEC9A,0.79644693199577,0.79342106430272,0.759993098360697,0.757560463801525,0.778318802793657,0.78286423242608,0.842749705441003,0.764063657553128,0.7640465057074,0.757297351822348,0.798630406359498,0.8079093684398,0.815187342343815,0.638426825337899,0.817401259688421,0.799283403154105,0.737398046505574,0.816737761622646,0.853220459461012,0.831055232894911,0.772543077058874,0.817891722296136,0.795073533457162,0.696011865009335,0.80350817210385,0.807589490564566,0.81112922501561,0.761777205103657,0.757088673390817,0.88180115574885,1.0,0.624756074080519,0.603271879246786,0.724659356752893,0.692016578967547,0.810716038254122,0.754021447002253,0.396797436137784,0.540489928397953,0.72294128483822,0.720430100537845,0.802481032728873,0.758483957729433,0.693269813411686,0.549487174361823,0.71099783754037,0.826605810770107,0.817040338197995,0.813845684377843,0.784080927490083,0.53725830798612,0.766603905036775,0.564662351223544,0.802949890072587,0.805955871259902,0.565934440761757,0.601254539849854,0.623335788923292,0.587108818782165,0.608014018853063,0.545863165827433,0.550886607288797,0.549821047321411,0.598252491592954,0.561499549822004,0.594266901031657,0.589414109481557,0.562630754073369,0.800139214658238
DC2_CD1C,0.825760266198016,0.790621776265913,0.792983668496863,0.795274887030951,0.824526340300496,0.827015968650141,0.84796233009939,0.834141068704418,0.816681620671505,0.835213759097414,0.842013440486716,0.855330980738656,0.831764813765807,0.659581828540059,0.850107483814275,0.839313805799308,0.779387661006077,0.826070170539143,0.839206978807886,0.826130157682379,0.827685756083524,0.827805487019978,0.830906393814794,0.811036075767686,0.834882552718764,0.828202889297408,0.855983105880267,0.828918282724943,0.806045457154724,0.870789152053686,0.624756074080519,1.0,0.908283918035808,0.791815155780531,0.673022558913855,0.829149055274664,0.820161577768287,0.419781712142454,0.818992868237783,0.735826776271567,0.814349878488395,0.818285613569698,0.722258960632363,0.696390777277883,0.549227383487177,0.735764799932451,0.832297113163955,0.835736833818367,0.824060637670202,0.834396417699476,0.789309853991089,0.803897861589566,0.82513890648322,0.836737000273822,0.840562743674451,0.925811917434868,0.904463232242248,0.908813445777335,0.912043403756028,0.778544784841767,0.830113619697815,0.792234544093791,0.821816245462492,0.907287106737973,0.913327413936056,0.903992765985693,0.881595954120451,0.844254322736548,0.820696644229555
DC_CSF2RA,0.841832927889133,0.802116339955092,0.810814851127284,0.770509543115042,0.802544468966984,0.78326260643661,0.872885954895205,0.819348403282268,0.770824525794467,0.795822686420612,0.793585531283072,0.805273691707649,0.80688302531712,0.737505645060952,0.801548017981075,0.795576876037421,0.779932484708974,0.819444314791762,0.84379664985852,0.841229806488399,0.81677633993179,0.822570791757006,0.82805177122657,0.780302868650424,0.790733662225934,0.83306812329524,0.843389997233518,0.799170657520292,0.775773836140475,0.866557966591194,0.603271879246786,0.908283918035808,1.0,0.856680810975692,0.679923538936328,0.839982400276578,0.798597606346059,0.431068455556354,0.82904979724677,0.714964163356279,0.753475844972978,0.810645251548662,0.740667471518897,0.69799012171488,0.615233239375398,0.71045423103782,0.789614500262769,0.814960765523709,0.795764839844304,0.795038312844922,0.832456651069684,0.772212405605222,0.820990533127822,0.806375365297614,0.754898245771626,0.864654572223875,0.84731742871583,0.872950902632773,0.861969421405669,0.833438216497758,0.808067444476237,0.828367077857928,0.814410658110376,0.855743340165176,0.86003899137961,0.866375627705494,0.827897676458716,0.855212826105701,0.825492079529546
HSPC_CD34,0.817667512323721,0.806660602424897,0.791821188784815,0.78733867139996,0.748445106497879,0.809242168286211,0.855975515838944,0.78616683956858,0.78249403853954,0.80118652338774,0.811365289263428,0.832137205138223,0.85488522374112,0.629488689917327,0.832365170566534,0.823050811831256,0.798460846462589,0.847727047596377,0.844040196205213,0.847146364826458,0.799961226953976,0.843247481015969,0.829545760900381,0.731008224206724,0.789478002526618,0.813798919661319,0.848187582636339,0.785797830982491,0.785443047990707,0.865039789998317,0.724659356752893,0.791815155780531,0.856680810975692,1.0,0.810087086396735,0.846570452443499,0.814436057505054,0.651962056449588,0.789106704450741,0.73525624215502,0.794177471020648,0.806425780390143,0.754611148907245,0.787425948772826,0.720015739624282,0.620305043696284,0.787009418058431,0.780840623193151,0.797023051570983,0.78930168834811,0.738364515691674,0.803989367308809,0.792783248602243,0.82153597613309,0.826384125720859,0.794526957143628,0.79578509109089,0.812369277295347,0.798656751570538,0.794092779478652,0.775456455534992,0.832229266012935,0.811253829251337,0.807362440881095,0.769283706701599,0.779992295669709,0.749453286519206,0.768828271388558,0.827547944752839
