,mean_RI,median_RI,max_RI,std_RI,cv_RI,n_critical,stability_rank,role
FOXJ3_+,0.0017990485853596474,0.0017497131442847733,0.003272041582498028,0.0007198988408259326,0.40015530780224173,0,81,neutral
EOMES_+,0.0017985443936951622,0.0011895739054451377,0.0049627911783241925,0.00133217628106708,0.7406969130127435,2,82,neutral
KLF10_+,0.0017544698763514428,0.0013314336230927492,0.0038097914603413717,0.0008732787583830839,0.4977450850859806,0,83,neutral
NR4A1_+,0.0017336055573529488,0.0011828587786353304,0.004910541621939432,0.0011583084267160336,0.6681499266860397,4,84,neutral
MYBL1_+,0.0017034093253253232,0.0012563298691319921,0.004584296549384969,0.0012004196893173219,0.7047159310245912,1,85,neutral
SP4_+,0.0016944376944649155,0.0018150480776696085,0.0029086787819316436,0.0007124846142740828,0.4204843979693175,0,86,neutral
BATF3_+,0.0016761394008316256,0.001146616360125494,0.005697522809983327,0.0011539159739106801,0.6884367569008412,3,87,neutral
CEBPB_+,0.0016697131551444866,0.0013468693103655882,0.0036739355007889417,0.000771436084760407,0.4620171326563182,0,88,neutral
ESRRA_+,0.0016625186235705886,0.0012198318541959971,0.004441606520706159,0.0009837423543956002,0.591718095579044,0,89,neutral
SOX13_+,0.0016424245097666084,0.0006468873117360476,0.00637914749650939,0.001736172253533388,1.0570788746467394,7,90,neutral
ZBTB40_+,0.0016413758461949022,0.0017042419850925507,0.0034023110770560155,0.0007406718583143068,0.45125061367273617,0,91,neutral
MITF_+,0.0016026815595164261,0.0007961895440431915,0.00664884522605462,0.0017459008994175538,1.0893623177738305,6,92,neutral
VENTX_+,0.0015958271550408098,0.0008911365294395864,0.005535832713578627,0.0016541458209843602,1.0365444745834738,9,93,neutral
RUNX1_+,0.0015898310477875583,0.0015913559115711873,0.0025573144250270706,0.0005444155559160929,0.34243610749159586,0,94,neutral
ATF5_+,0.0015849899322207472,0.0010757894757678303,0.0036938058336053797,0.0009406384294966232,0.5934665008156977,0,95,neutral
ZNF274_+,0.0015786214932600425,0.0014942148079999024,0.002871957361345517,0.0005414365940337136,0.3429806296204681,0,96,neutral
STAT2_+,0.0015612762087013575,0.0013247981295648787,0.003216672500933631,0.0006019947950882018,0.38557866401061214,0,97,neutral
SMAD4_+,0.001556661509575624,0.001628333765821379,0.002847058177599641,0.0005740414632766557,0.36876447408556146,0,98,neutral
CUX1_+,0.0015562011199063972,0.0012150184503778455,0.00413282312285005,0.0007560873238476404,0.48585450408059294,0,99,neutral
NFKB2_+,0.0015493719829717866,0.0011706959421738312,0.004040265511130984,0.000989278944648402,0.638503183794768,0,100,neutral
POU4F1_+,0.0015398545127753435,0.0008041272241341859,0.007157074863322243,0.0014030579751817729,0.9111626862344422,2,101,neutral
NFATC1_+,0.001537156967764393,0.0013466418130174893,0.003981517583883219,0.0006749323581029751,0.43907835817542,0,102,neutral
MEF2A_+,0.001534857084202593,0.001298169737286238,0.002874688446461419,0.000554033338921306,0.3609673788280923,0,103,neutral
IKZF3_+,0.0015181749299564686,0.001756243808472616,0.0025425983095802847,0.0007010361704949684,0.4617624466064047,0,104,neutral
ZBED5_+,0.0014934290395012863,0.0015400913641435007,0.0022161019376037952,0.0003414726126127661,0.22865004185143406,0,105,neutral
GATA3_+,0.0014916536723005767,0.0014496409691673218,0.0031184944755603323,0.0009044487957284732,0.6063396698023091,0,106,neutral
ATF3_+,0.0014840740339704566,0.0009431918431372741,0.004630829665583332,0.0011551945674243354,0.7783941637704966,1,107,neutral
ARID5B_+,0.0014771209121095215,0.0014667324166439013,0.0035245007811343597,0.0009087203022648638,0.6151969647169205,0,108,neutral
TBX21_+,0.0014768548472947037,0.0010554691371187782,0.004094969307007254,0.0009329006410386796,0.6316806571179844,0,109,neutral
VDR_+,0.0014642516048918586,0.0010976536165063036,0.005766199421979786,0.001284935642245584,0.8775374649242367,3,110,neutral
RXRA_+,0.00146014359331258,0.0009857800051517858,0.004064374447121647,0.0010099320439783573,0.6916662497525269,0,111,neutral
BACH1_+,0.0014541065470959078,0.0009412968366942399,0.0040918501206786105,0.0009801017351222185,0.6740233282118295,0,112,neutral
ELK4_+,0.001450597223182573,0.0015087217141771178,0.002509968288095093,0.0005192138898596601,0.3579311205095147,0,113,neutral
SREBF2_+,0.0014285837022202962,0.0012726726108749124,0.0025120740474835115,0.0004112641952751745,0.28788246313331706,0,114,neutral
CEBPD_+,0.0014253230202865242,0.0010204223252489061,0.003778665777612606,0.0009241071439762969,0.6483492725334499,0,115,neutral
KLF4_+,0.0014236118544643005,0.0009332266256782835,0.00407067249894713,0.0010421840423859826,0.732070359196385,0,116,neutral
STAT6_+,0.0014112142884330264,0.0013997847760675274,0.001806229254524051,0.00020746654879884928,0.14701278916485577,0,117,neutral
SPI1_+,0.0013878861729152926,0.000941168999620035,0.003921733673580502,0.0008660920545214656,0.6240368056107792,0,118,neutral
CEBPA_+,0.0013762343765899828,0.0009032683384508311,0.0038020991383283394,0.000981989558499206,0.7135336643884993,0,119,neutral
POU2F2_+,0.0013524757952455644,0.0008107083826436372,0.0031531261380002016,0.0008612390103897033,0.6367870040857508,0,120,neutral
FOXO1_+,0.0013492313774687108,0.0012376565381144776,0.00288432407876346,0.0005949715196485146,0.4409707105417073,0,121,neutral
KLF7_+,0.0013475901686639414,0.0013020863142556907,0.0022694140725549677,0.0003129836530913194,0.23225433083217759,0,122,neutral
ETS2_+,0.0013422893126243732,0.0008624184700461965,0.003572197259964896,0.0009774827197868167,0.7282205928820766,0,123,neutral
ZBTB1_+,0.0013420226741020372,0.001402886268498107,0.0020663599370432362,0.00048544904855618814,0.36172939367010193,0,124,neutral
LYL1_+,0.0013394547237733148,0.0007893489376472265,0.003834715242814555,0.0009424245820740412,0.7035882323185908,0,125,neutral
AHR_+,0.0013346503611394354,0.001152868096522454,0.002912122764018206,0.0005314823500815893,0.3982184137197001,0,126,neutral
ZBTB18_+,0.0012764215436765322,0.0011328492164799507,0.0028897576242060824,0.0006077629275670247,0.47614593321600707,0,127,neutral
ARID3A_+,0.0012656835773717028,0.0007753943080418588,0.0034296721697853897,0.0008830089310523025,0.6976537786705664,0,128,neutral
IRF7_+,0.0012400760486306927,0.001015476970631135,0.003985276398340289,0.0006117547511227193,0.4933203502357022,0,129,neutral
ETV6_+,0.001233050955694462,0.0009526512330374085,0.0025776023573620614,0.0006054487599497153,0.49101682023976534,0,130,neutral
ZBTB16_+,0.0012280269905275308,0.0010192571286881144,0.004515288399462518,0.0009550936809585589,0.7777464889192112,0,131,neutral
MAFB_+,0.0012244850293567356,0.0006456217986943175,0.004237889457711805,0.0012095677715405805,0.987817524554131,0,132,neutral
ZBTB10_+,0.0012149641585233618,0.0012013834948839323,0.0032587599975927653,0.0006757861706516026,0.5562190171245198,0,133,neutral
MAFG_+,0.0012090246661692644,0.001063177192589316,0.0026368116292930033,0.0004776893171063071,0.39510303642086914,0,134,neutral
JDP2_+,0.0011959485989195826,0.0006790765416643928,0.003984319146184262,0.0010395409998030787,0.869218794079427,0,135,neutral
PLAGL2_+,0.0011742672603977974,0.0007052643207523716,0.005507197449969237,0.0011461501015248327,0.9760555703141248,3,136,neutral
TFDP2_+,0.0011738243286559074,0.0007504499407389876,0.003963708849172714,0.0008973168488593744,0.7644387888283183,0,137,neutral
NCOA3_+,0.001150068246221247,0.0007882396048297937,0.0037406665069137043,0.0010074197351382025,0.8759651764773904,0,138,neutral
E2F3_+,0.0011372720711601218,0.0010091079703427547,0.0036327857692345453,0.00099123337477684,0.8715886013925431,0,139,neutral
ZNF467_+,0.001130314913941271,0.0005967782974716357,0.0040984137272944,0.0010952258847946846,0.9689564123389368,0,140,neutral
BNC2_+,0.0011043034787963223,0.0005059198216219628,0.005589817018413046,0.0013648956212568427,1.2359787379358653,4,141,neutral
ELK3_+,0.0011006923652913312,0.0008944225475776184,0.0022649217302125684,0.00045211798986820003,0.4107578136401225,0,142,neutral
ZFY_+,0.0010961207129276827,0.0011417425323579484,0.0014969169939321723,0.00022095704507621856,0.2015809411031679,0,143,neutral
CREB1_+,0.0010895560188504574,0.001047036667717329,0.0018546020154229102,0.0003598727674746901,0.3302930376393891,0,144,neutral
NFE2_+,0.0010487410799026253,0.0005905563057739217,0.003881077467277689,0.0009295035315553655,0.8863041111685689,0,145,neutral
HES6_+,0.0010354294434835487,0.0003175179981986918,0.005280123109923317,0.001331584234083548,1.2860212167790102,1,146,neutral
RFX5_+,0.0010306223774317277,0.0006414989404339447,0.0028606184908112823,0.0007903360895280662,0.7668532200229349,0,147,neutral
CREB5_+,0.0010172762619568819,0.0005423589343409168,0.003982647226495442,0.0011191310848549499,1.1001250354569467,0,148,neutral
TCF7L2_+,0.0009879525652930644,0.0006619535088483098,0.004315030578815895,0.0008291111348932246,0.8392216015027575,0,149,neutral
BCL11A_+,0.0009660985515393453,0.0004739251480553813,0.003431148300325989,0.0007967737613194684,0.8247334179573973,0,150,neutral
HLX_+,0.0009549803238318528,0.00013184658744595467,0.00690136257746136,0.0016996816382155448,1.779808017002669,4,151,neutral
TCF3_+,0.0009328809746893553,0.0006611996581444762,0.002449867411326441,0.0006672157376600805,0.7152206498444662,0,152,neutral
ZNF770_+,0.0009204119222434936,0.0009937890986834643,0.0014811055422344398,0.00033562868758633735,0.3646505212618234,0,153,destabilizer
IRF8_+,0.0008798657347771118,0.0004219287685586352,0.0033348900951461918,0.0007319476356385742,0.8318856001275081,0,154,destabilizer
ZNF107_+,0.0008791004931028554,0.0005848415106869015,0.004364309087665622,0.0010483994271354333,1.1925820019079296,0,155,destabilizer
MYBL2_+,0.0008670973376802189,0.0005654411155943959,0.006054055585119406,0.001069122843436354,1.2329905718124239,2,156,destabilizer
BHLHE41_+,0.0008604876445997602,0.0003566169578814663,0.0037204074302023722,0.001005733024346403,1.1687942639146278,0,157,destabilizer
RUNX2_+,0.0008325382462041325,0.0007098774708092511,0.003858245276863106,0.00048422976174859983,0.581630649852739,0,158,destabilizer
MEF2C_+,0.0008179704846014165,0.0006223854012650948,0.0024646648951185328,0.0004678865089533343,0.5720090360098001,0,159,destabilizer
EBF1_+,0.0008032339533749529,0.0003098877133599134,0.0039928130207510185,0.0011165410868431654,1.3900571318751294,0,160,destabilizer
SMAD1_+,0.0008001066766145656,0.0005947273614626993,0.004723204519991475,0.0008737083229625609,1.0919897901207762,1,161,destabilizer
TFEC_+,0.0007978591501724612,0.0002754452496038667,0.0030954052527238673,0.0008718519083464707,1.0927391220183118,0,162,destabilizer
PAX5_+,0.0007899884117379974,0.00030473941827504806,0.0042849271237088895,0.0011249862832540126,1.4240541571425789,0,163,destabilizer
SPIB_+,0.0007779591644892712,0.000367490656357542,0.002874735209863579,0.0007646383348814961,0.9828772110430791,0,164,destabilizer
PLAGL1_+,0.0007699458134366903,0.0005024731094643593,0.0025445214011170043,0.0005272301972215821,0.6847627291893464,0,165,destabilizer
BACH2_+,0.0007588188647981211,0.0005463458277657861,0.002827754417358942,0.0005656110665215935,0.7453835058867273,0,166,destabilizer
NR1D1_+,0.0007503704765513502,0.0004438748252735008,0.0024511737896040654,0.0005916632042790697,0.7884947795518518,0,167,destabilizer
ZSCAN18_+,0.0006797833887265006,0.0005897143102596988,0.0014841243210080104,0.0002894107514513383,0.4257396632885923,0,168,destabilizer
E2F2_+,0.0006710200898994687,0.0005703622216369032,0.0031512814045795107,0.0004578085999211338,0.6822576643084776,0,169,destabilizer
