,AS_DC,Atypical_Bm_ITGAX,Bn_IFIT3,Bn_TCL1A,CD4_CTL_GZMH,CD4_Tcm_CXCR5,CD4_Tcm_IFI44L,CD4_Tem_CCR5,CD4_Tem_CCR7neg,CD4_Tfh-like_CXCR5,CD4_Th1-like_GZMK,CD4_Th17-like_RORC,CD4_Th22-like_CCR10,CD4_Th_CCR4,CD4_Th_LMNA,CD4_Th_TNFRSF11A,CD4_Tn_CCR7,CD4_Tr1_IL10,CD4_Treg_FCRL3,CD4_Treg_FOXP3,CD8_CTL_GZMB,CD8_CTL_GZMK,CD8_CTL_IFI44L,CD8_Tcm_IFI44L,CD8_Tem_CCR7neg,CD8_Tn_CCR7,DC1_CLEC9A,DC2_CD1C,DC_CSF2RA,HSPC_CD34,ILC2_IL2RA,MAIT_SLC4A10,Mature_NK_dim_FCGR3A,NKT_NCR1,NK_bright_XCL1,Plasma_IGHA1,Plasma_IGHG1,Plasmablast_MKI67,Proliferative_NK_MKI67,Proliferative_T_MKI67,Switched_Bm_IGHDneg,Switched_Bm_IGHE,Switched_activated_Bm_CD86,Terminal_NK_dim_CD160neg,Transitional_B_MME,Transitional_NK_GZMK,Unswitched_Bm_CD1C,cMono_CD14,cMono_CXCL10,cMono_IFI44L,cMono_IL1B,gdT1_TRDV1,gdT2_GZMH,gdT2_GZMK,gdT2_IL12RB2,intMono_GFRA2,ncMono_C1QA,ncMono_FCGR3A,ncMono_IFIT1,pDC_IRF4,pre-Switched_Bm_JAM3
MEF2C_+,0.0010429230048320639,0.0012569760299525755,0.002298001506076887,0.002364923764334383,0.0005137011748397084,0.0004749805750482114,0.0004835485885576282,0.0005700903924804825,0.000471523103305582,0.00047941319755729896,0.0004711153883844068,0.000467689360300154,0.0004946258453715711,0.0005298277480575721,0.0005094504571041019,0.0005079644167519917,0.00048118318743964507,0.000606253621105813,0.0004954010585544693,0.0005641068258551951,0.0005183414890266852,0.0005235821195352543,0.000511831857068945,0.0005279367492590927,0.0005332563966575799,0.00048735237850016804,0.0011443621317206486,0.0008173790488454812,0.0008183932049992686,0.0011662259679671467,0.0007419011932201779,0.0004501197149367327,0.0006223854012650948,0.0005410519205912921,0.0006788193450042735,0.001193979965694942,0.0011849413116241433,0.0011087256425467101,0.0006521852550558046,0.000699737056956507,0.0014214923682299375,0.0014630172668018806,0.0012683495877497258,0.0005383798405290783,0.0024646648951185328,0.0006174971616582859,0.0014751724539004156,0.0007961149666197063,0.0008592959140963177,0.0008088664778502473,0.0007735825611412957,0.000456279477826428,0.0004942631472617529,0.0004948975147507224,0.0004920247532777612,0.0008410735366232131,0.0006694692824712033,0.0006670729069346519,0.0006487611467741452,0.0012244292986105763,0.001415287606074839
MITF_+,0.002525575753552522,0.0007479463502376725,0.0006222036755803057,0.0006219899798621789,0.0008090514178362439,0.0008003747714640724,0.0007823929378416827,0.0007818917787131117,0.0008073718276631482,0.0007758537590898748,0.0007961895440431915,0.0007974167110643652,0.0008086364361368966,0.000794689591815188,0.0008049449784712225,0.0007679473515196949,0.0007597030426294959,0.0006636005407794041,0.0007133371593595388,0.0006887577967241723,0.0007752830181330275,0.0006813562842602552,0.0007086675015907627,0.0008405123353638615,0.0006811340740250746,0.0007804568482270371,0.0029257388033862267,0.004380050503967041,0.005214688938503828,0.0012353158035136949,0.0007999235878962115,0.0006805850708464915,0.0008883344636977789,0.0008164939044758394,0.0008452342810860944,0.0010394965367328203,0.0010461950192158557,0.0006760250158848359,0.0008368052442018151,0.0007205206498505502,0.0007129794190877796,0.000664737632466733,0.0006440851223124379,0.0008660998292239594,0.0006499360115991651,0.0008133116631167775,0.0006888246499155479,0.0066107058302335275,0.006249268717247235,0.00664884522605462,0.006086667417654751,0.0007109341881440383,0.0007678759331974658,0.0007172617107131705,0.0006979801680492228,0.005589940968460217,0.004282245589076003,0.003817833550319985,0.0036435099573861457,0.002769662563113759,0.0006881756938863578
MXD1_+,0.003466716738861673,0.0017015801394305345,0.0013077028021849634,0.0012404719766833554,0.0018307633135475037,0.0014707719900247864,0.001489381212576059,0.0017645856080335896,0.0015691472807645402,0.001498851240476487,0.0015654015434312916,0.0017051097226717974,0.0017408891994823692,0.0017146500676338589,0.0017085330633958688,0.0016567853848862028,0.0013157100550448878,0.0017638895029291675,0.0013670900635947992,0.0016460201947963936,0.0018194578076928879,0.001562614098414632,0.0017068562936232913,0.0015220590434996653,0.0016344823520552825,0.0014315384069490855,0.003463804625769922,0.004337552091743175,0.003496074384340089,0.0028734776282295614,0.0022573887423915657,0.001634743556758431,0.002245282302301713,0.00206808761494026,0.0022901484946203816,0.002454978347327507,0.0024482796778387355,0.0026488181247380635,0.0023522292609140013,0.0022598302592676633,0.001469364747504057,0.0013994457597970252,0.0015751093199147623,0.001967117886565397,0.0012968203570714262,0.0020200762623329375,0.0014392791759317467,0.00450690327212482,0.004234975735777686,0.00437746733858863,0.004333237091715876,0.0015628450267212966,0.0018674125807253187,0.0017234726199481616,0.0016830958626726819,0.004557914680569116,0.004569565068925785,0.004458288609740495,0.004379554072630566,0.0027481666211430643,0.001315720545445633
MXI1_+,0.00106982499524105,0.0011974249127733817,0.0015239402422161435,0.0015381071244900723,0.002910747899097744,0.0033862304344566157,0.003207067105376247,0.0030081890067973085,0.0034404772284156795,0.0036165079336372657,0.0037214212539784007,0.00394721868268724,0.0035689712528825038,0.0034646219234488046,0.0035255996553545006,0.0035295168675468004,0.00288210622766937,0.002826773585075345,0.0029280161898506797,0.0032223117771379255,0.0024556669468142767,0.003298448763736453,0.0029464138201856288,0.002633077492519787,0.0029439306488649535,0.0024828841795324773,0.0009234571182918745,0.0009936218440435784,0.001104332688081278,0.0013975181503547577,0.002660668048288833,0.0036461064052550982,0.0018313230567742688,0.002006493401105605,0.002224591838269142,0.001150734231415951,0.001174447563361498,0.0009799810344631734,0.0017266550812157593,0.00202425524994595,0.001490352776133604,0.0014845742845273977,0.0013846718041860867,0.00180308052886683,0.0013937772785111897,0.0022490959375473306,0.0014344451485871872,0.0009043339346140745,0.00086681985257695,0.0008817453172796926,0.0009186710635624197,0.002791927121722437,0.0026661039832122802,0.0032313025324882125,0.003270537938550664,0.0008314076745785022,0.0008620676321102046,0.0009567690297723682,0.0009255076657366129,0.0010024809645489308,0.0014860635050890922
MYBL1_+,0.0009104140012011742,0.0007819554193009017,0.0004964429335037475,0.0004781239488995421,0.0035043665590471355,0.0011954778815274631,0.0012030817270894897,0.0022131718288179365,0.0014388929969719826,0.0013129296559938558,0.0018995385099202446,0.001547213743945266,0.0014613013180897424,0.0014467103123234984,0.0013648254654311297,0.0013280568659463866,0.0009752271480540243,0.001754240355145155,0.0011932299950232921,0.0015297064238426951,0.003824194148235844,0.002602344211688502,0.0026396161397617512,0.0014998945122876705,0.0029509095140006552,0.0010706730981382467,0.0008990197642732931,0.0007476340213738921,0.0009250664327648626,0.0007617496851250713,0.001769934647361042,0.002991401906834084,0.004584296549384969,0.004435525158858328,0.003363947080888059,0.0012563298691319921,0.0012428067361893978,0.0009647554137094489,0.003840712525753636,0.002416686627871971,0.0006045654818513247,0.0006110622879193533,0.0007008703364984512,0.004225193509166755,0.0004741147236200992,0.0041314016122892495,0.000591615894737637,0.0007537372073460058,0.0007203592530535256,0.0007360008412728538,0.0007205633096412035,0.0015125282806218423,0.004060827465951583,0.003332035485527586,0.003443978155500209,0.0007084069599814218,0.0007279107944027954,0.0007408199766007488,0.0007038768062702722,0.0010079280998889066,0.0005777672289954857
MYBL2_+,0.0010084517313473723,0.000584727155234639,0.00020631353541712168,0.00022353235199803738,0.0010603304199416697,0.0005617230735960344,0.00041405977441526026,0.001581319855824191,0.0006216095190293546,0.0008230092043466421,0.000487199048282432,0.0004195215210328145,0.00059414810319802,0.001354970203104691,0.000562687833363022,0.00044479689339213774,0.00033115486159994775,0.0018055712298362695,0.0003470806611393727,0.0013267130606245071,0.0008641421457062924,0.0007972929296323545,0.0007123077058456152,0.0004996537544247268,0.000808630285033522,0.0003980763259125046,0.0008758428304397517,0.00039262818502408244,0.0002607099381551576,0.001400509332367698,0.0005654411155943959,0.0006747740498526729,0.0008511687663224222,0.000831368005621034,0.00044526695512360617,0.0028552035058122057,0.0025913174857508754,0.006054055585119406,0.002183606909163017,0.005218604887029607,0.00024849237931761953,0.00011526778322681193,0.00035016165909671344,0.00032414764200193577,0.00018629078076928376,0.0007494147928150303,0.00029369900497933066,9.862245609454446e-05,0.00016921286391523052,0.00010125950780969055,0.00011209211745002143,0.0014268029478773855,0.0008756802323043328,0.0007843449296799875,0.000697576245429247,0.0002172957236637955,4.711940220852729e-05,0.00011376249884366891,0.00013383873555147718,0.0016014007556082962,0.0002069344051959431
MYCN_+,3.613033055254379e-05,1.5067949032593949e-05,8.319300347237787e-06,2.7234431551600397e-06,8.403335233971232e-06,7.160511715257412e-06,9.447771068284264e-06,1.3338014214313945e-05,9.822277746793499e-06,5.091546193610649e-06,6.410446156623059e-06,1.10891373766272e-05,4.416653650350504e-06,5.216170737438805e-06,9.4416675160421e-06,6.370077549025531e-06,1.899345527172247e-05,1.3251876165829736e-05,4.5692313305742224e-06,1.742748532254353e-06,1.0391586427644328e-05,2.2915271308935596e-06,1.5242190096368665e-05,7.105172270868413e-06,4.924024269187273e-06,1.081572341638222e-05,8.951454912914065e-05,8.170669824131917e-05,2.128938610717457e-05,0.002020963790382314,9.83030406609897e-05,3.1776209953712485e-06,2.8372342264119314e-05,2.8738703199042458e-05,2.561890240679765e-05,5.500679756826618e-06,8.301984639674846e-06,1.221941764589157e-05,3.9889768212540724e-05,1.0180261331712156e-05,4.1445985348584595e-06,3.5956066351916683e-06,6.1431602756074115e-06,1.0151527007492763e-05,1.668073442538308e-06,1.342300347086335e-05,1.7480220095148558e-06,9.602045033720196e-05,7.258266140171664e-05,9.066198460448752e-05,8.541968334145208e-05,4.3326116401047895e-06,1.145229206544298e-05,9.901640788964302e-06,2.678280839689766e-06,5.848112129362726e-05,5.1716405756645755e-05,2.8008986335122938e-05,2.582424598772265e-05,5.77138423985896e-06,1.5319599123634512e-06
MYC_+,0.0025846159016096057,0.0029339957709740255,0.003270046402385979,0.00323283717708187,0.002492359246739185,0.0038915610921281,0.003800765748456375,0.003201916616087049,0.0035585089417820045,0.003688621000108383,0.0033599643255571836,0.0035715771391563204,0.003425503252158508,0.0034417684300011536,0.0035493025286314605,0.0035161542418798886,0.004187793126995945,0.0033796895138555358,0.0038282455334578813,0.0033187657410307498,0.002345657982422339,0.0029423879934990906,0.0030187081379475255,0.003778169984260591,0.0027828655652932847,0.00407360120232472,0.0025022975566067096,0.0021742021312344223,0.002089635848622123,0.003141178555686065,0.003156188720425647,0.002923352680847327,0.0021340454294463624,0.002198132099934586,0.002621635517633418,0.0031875159285052633,0.0032529044998449758,0.0033503005713803975,0.0024070981719817378,0.002836132804571894,0.0032085584916447035,0.0031427876127716374,0.0030159266046947374,0.0021064013167758876,0.003201427206852616,0.002357402146805092,0.0032108805062169925,0.0018796569641380625,0.0018944759569275004,0.0018698331082932032,0.0018063101796914178,0.003515551562184817,0.0023651095097695788,0.002759098117558847,0.0026589672415555437,0.0019291317505916537,0.0019324427627661277,0.0019758660924630717,0.002004736924452264,0.0026527648370982294,0.003169662183594083
NCOA3_+,0.0007055062567997854,0.002682227745932798,0.003148037856009098,0.0031366995047574387,0.0008581738796099311,0.0005946437586919867,0.0004681618959580408,0.0009729710171759202,0.0007944171036854178,0.0008356250781991269,0.0007702484645619047,0.0008381822784680755,0.0009609499282556424,0.0009085651255473439,0.0007840891262384388,0.0007707316088503335,0.00019745069735160794,0.0009381028354206833,0.0007926926702913806,0.0012577713203435238,0.0008632205333973766,0.0009051233764004785,0.0007326389488895943,0.0003903033415335468,0.0009148027472843682,0.00016419352938269074,0.0005302206964301113,0.0007624747039739124,0.0009827782220742964,0.00062625804648537,0.0007337982697355546,0.0008403832517966155,0.000243671273266395,0.00039329069611513084,0.00046155953427657627,0.0029820938179696767,0.003057938351512593,0.0017443025481552812,0.0004037620625721653,0.0008077977184222419,0.0032948757396980876,0.0033605534712049558,0.002539741170964304,0.0007489544167524657,0.003555601431137137,0.0002752204301875041,0.0035377257285671058,0.0003396567112960468,0.0004622236762082213,0.0003520031513417126,0.00039062133930982537,0.0010365937718209478,0.0006110022049414984,0.0006690695712339178,0.0006919687169765112,0.00057013907878123,0.0005975289016174689,0.0007882396048297937,0.0006655226056512616,0.0009703949682399091,0.0037406665069137043
NFATC1_+,0.0012950666030848955,0.0021254610721578994,0.002002018472793661,0.001972481456111606,0.0011247832016932858,0.0014693984685235952,0.0014880223452602226,0.0014958603407360374,0.0014215289654967525,0.0014895109729515458,0.0012986748460984139,0.0013466418130174893,0.001359836729936152,0.0014863130867375101,0.0013923809987437911,0.0013494017525752067,0.0012586694327570984,0.0013455067037549263,0.0014887396493456445,0.001540279451969753,0.0010549812201011604,0.0010633728972929348,0.0012539577733243544,0.001082636990855817,0.0010429221075680998,0.0010345312834854005,0.0012972278036355465,0.0013761774434323654,0.0016767415834106467,0.0012249392236029209,0.001317322508248973,0.0008814316303652064,0.0008960099885634104,0.0009809926660723897,0.0007984115733694352,0.0011245014633585915,0.0011213069835477388,0.0011424591663162203,0.0009552702824084592,0.0012266071775843743,0.0019612410079768586,0.001927596074336864,0.001977858300930377,0.0008920562671741594,0.0019434612798145796,0.0008012271100266128,0.002015445121260214,0.002119979530071379,0.0025006742311895606,0.0022724149052127415,0.0021231333261411923,0.001134129695837268,0.0009522098585521478,0.0009214877328897717,0.0008852817004776702,0.002653678996411837,0.0035566799624580777,0.0037540094859547513,0.003981517583883219,0.001124088259959698,0.00196602647277942
