regulon_clean,n_rg_pairs,n_unique_regions,n_unique_genes,mean_ct_breadth,max_ct_breadth,regulon,mean_RI,rank,stability_class
RXRA_+,4073,3384,993,17.243794326241133,62,RXRA_+,0.0014601436044148,111,intermediate
SATB1_+,76,73,70,25.71232876712329,59,SATB1_+,0.0041042604695562,11,stabilizer
SCX_+,53,49,38,18.020408163265305,61,SCX_+,0.000281543522349,189,destabilizer
SMAD1_+,175,164,115,19.054878048780488,59,SMAD1_+,0.0008001066872032,161,destabilizer
SMAD3_+,622,595,238,28.932773109243698,63,SMAD3_+,0.0020463268946598,65,intermediate
SMAD4_+,795,718,493,31.161559888579387,63,SMAD4_+,0.001556661520768,98,intermediate
SOX13_+,59,54,44,29.462962962962962,63,SOX13_+,0.0016424245208228,90,intermediate
SOX4_+,208,204,116,18.269607843137255,60,SOX4_+,0.0006275988431841,172,destabilizer
SP100_+,47,43,47,50.674418604651166,64,SP100_+,0.0030921154262271,17,stabilizer
SP4_+,1517,1461,230,35.049281314168375,65,SP4_+,0.0016944377057161,86,intermediate
SPI1_+,9920,8682,966,13.473853950702603,63,SPI1_+,0.0013878861839833,118,intermediate
SPIB_+,5376,4820,724,16.21286307053942,62,SPIB_+,0.0007779591750372,164,destabilizer
SREBF2_+,1847,1722,560,28.089430894308943,64,SREBF2_+,0.0014285837133687,114,intermediate
STAT1_+,3613,3262,524,15.84304107909258,63,STAT1_+,0.0020999195803288,60,intermediate
STAT2_+,1376,1163,662,21.472055030094584,62,STAT2_+,0.0015612762199084,97,intermediate
STAT4_+,82,68,72,34.029411764705884,59,STAT4_+,0.0025427764995455,36,stabilizer
STAT5B_+,249,209,219,29.789473684210527,58,STAT5B_+,0.0030555709398201,18,stabilizer
STAT6_+,17308,13796,2688,16.76942592055668,64,STAT6_+,0.0014112142995845,117,intermediate
TAL1_+,340,329,123,11.80547112462006,64,TAL1_+,5.461986453682796e-05,196,destabilizer
TBX21_+,4397,3635,535,25.381292984869326,64,TBX21_+,0.0014768548584082,109,intermediate
TCF3_+,4285,3790,750,18.93641160949868,64,TCF3_+,0.0009328809854481,152,intermediate
TCF4_+,5515,4886,783,11.83810888252149,63,TCF4_+,0.000649645340724,171,destabilizer
TCF7L1_+,109,106,41,22.245283018867923,60,TCF7L1_+,6.325746504151327e-05,195,destabilizer
TCF7L2_+,2254,2009,490,13.143852663016427,63,TCF7L2_+,0.0009879525760907,149,intermediate
TCF7_+,3546,2938,1069,25.762423417290673,64,TCF7_+,0.0027618552188645,28,stabilizer
TFDP2_+,1009,862,389,37.519721577726216,64,TFDP2_+,0.0011738243395673,137,intermediate
TFEB_+,1007,931,408,19.71858216970999,63,TFEB_+,0.0018763918691358,73,intermediate
TFEC_+,33,30,32,23.8,61,TFEC_+,0.0007978591605662,162,destabilizer
TGIF1_+,56,56,36,31.142857142857142,61,TGIF1_+,0.0023806451181715,42,stabilizer
THRA_+,67,65,55,30.892307692307693,61,THRA_+,0.0030089730665231,19,stabilizer
VDR_+,67,65,55,20.29230769230769,59,VDR_+,0.0014642516158853,110,intermediate
VENTX_+,49,46,43,18.869565217391305,48,VENTX_+,0.0015958271661109,93,intermediate
XBP1_+,402,385,300,34.23376623376623,64,XBP1_+,0.0022619814471939,49,stabilizer
ZBED5_+,147,126,136,42.61904761904762,65,ZBED5_+,0.001493429050689,105,intermediate
ZBTB10_+,110,101,60,40.366336633663366,64,ZBTB10_+,0.0012149641694868,133,intermediate
ZBTB16_+,25,24,24,26.625,56,ZBTB16_+,0.0012280270014127,131,intermediate
ZBTB18_+,909,889,264,16.509561304836897,63,ZBTB18_+,0.0012764215547092,127,intermediate
ZBTB1_+,231,225,178,48.80888888888889,64,ZBTB1_+,0.00134202268517,124,intermediate
ZBTB20_+,56,56,42,43.892857142857146,64,ZBTB20_+,0.0021250941653675,55,intermediate
ZBTB25_+,1116,957,600,42.960292580982234,65,ZBTB25_+,0.0035910335154758,12,stabilizer
