gene,magnitude,uniformity,sparsity,gini,non_additivity,n_celltypes,mean_abs_beta,max_abs_beta
ZMAT3,1.0897539032194814,0.0,0.11594202898550725,0.13781019171787667,1.0,8,0.37381171125,0.51083785
ZMIZ2,0.9633118335409709,0.0,0.08695652173913043,0.11596635922500309,1.0,6,0.38495017499999995,0.47302842
ZMYM5,0.5790893119802804,0.0,0.043478260869565216,0.07958203395341634,1.0,3,0.33042684000000005,0.4011218
ZNF100,2.8327714698468016,0.0,0.2318840579710145,0.12357013355890345,1.0,16,0.691376035,0.9383435
ZNF106,0.6134550561790617,0.0,0.043478260869565216,0.035008382772816704,1.0,3,0.3533854566666667,0.37650242
AC096677.1,1.5090368742790052,0.0,0.057971014492753624,0.11800258413468612,1.0,4,0.73731451,0.965082
AC096921.2,0.5320318366454178,0.0,0.043478260869565216,0.051840793988128686,1.0,3,0.3057563766666667,0.3443967
AC096992.2,1.0112025305844237,0.0,0.043478260869565216,0.09380320225307481,1.0,3,0.57301967,0.73097986
AC100861.1,0.5818537077574968,0.0,0.043478260869565216,0.025517902934588443,1.0,3,0.33556475666666663,0.35463983
AC103591.3,2.0201124083818924,0.0,0.5652173913043478,0.09792184336779397,1.0,39,0.31862046923076925,0.46815708
AC104530.1,0.9382509479917046,0.0,0.11594202898550725,0.06344388993449646,1.0,8,0.32950015,0.3981864
AC105446.1,1.153357057464353,0.0,0.11594202898550725,0.05914792432377913,1.0,8,0.40548120125,0.47024304
ZDHHC20,0.580734414305251,0.0,0.057971014492753624,0.08475414511281953,1.0,4,0.2865125575,0.36324614
ZDHHC6,0.8781784327939147,0.0,0.07246376811594203,0.061888047982220584,1.0,5,0.390368596,0.44349653
ZDHHC8,0.8445605825590549,0.0,0.07246376811594203,0.08451027669915745,1.0,5,0.373500668,0.45468062
ZFAND1,0.6135481469166906,0.0,0.057971014492753624,0.09142213364718166,1.0,4,0.3024328275,0.36194506
ZFAND3,0.819602837473566,0.0,0.07246376811594203,0.08785350826795013,1.0,5,0.360540648,0.48823532
ZFAND5,0.538629439928064,0.0,0.043478260869565216,0.1369791524770263,1.0,3,0.3014718933333333,0.4001532
ZFAS1,1.388274874119115,0.0,0.2318840579710145,0.1202643793236764,1.0,16,0.33959361875,0.47252437
ZFP30,0.7105516097940843,0.0,0.043478260869565216,0.06625218041913539,1.0,3,0.4072318466666667,0.46804214
AC108925.1,0.9327813073343904,0.0,0.08695652173913043,0.09696460367682214,1.0,6,0.37518146666666663,0.4777563
AC111182.1,1.2270209674116557,0.0,0.11594202898550725,0.11689511411759224,1.0,8,0.424858465,0.5706275
AC121761.1,1.0113879113975315,0.0,0.057971014492753624,0.11048928727322194,1.0,4,0.49535275749999996,0.6310585
AC133644.2,2.54625076346594,0.0,0.15942028985507245,0.08219858867456709,1.0,11,0.7595307218181818,0.9006436
