gene,n_celltypes,magnitude,uniformity,non_additivity,sparsity,gini
AC020916.1,7,0.6178596912383113,0.312137619181334,0.9199923358187329,0.8985507246376812,0.9100576407008693
HKDC1,7,2.6888711528993205,0.31269975468630745,0.9199848486768333,0.8985507246376812,0.9093192697658218
IFT57,8,1.0789497553429468,0.3272824859429489,0.9199582210016809,0.8840579710144928,0.9025827806342515
DIPK2A,7,0.9287114725972935,0.31208458967843083,0.919916015979413,0.8985507246376812,0.9086246050679855
ARL17B,6,0.7221586983960483,0.29412521728100427,0.9198978336665473,0.9130434782608696,0.9164260046733363
NSFL1C,8,1.2244487505488182,0.3272209663233538,0.9198735344548824,0.8840579710144928,0.9018079175872316
SEPTIN8,7,1.074111069183446,0.312814044618919,0.9198729858646236,0.8985507246376812,0.9091334722939941
WDR37,8,1.3599566476222693,0.32648740125814324,0.919860927404405,0.8840579710144928,0.9035076146116624
FOXK2,6,0.7452963446413235,0.2940307480520993,0.91986077321521,0.9130434782608696,0.9164533701609363
MCTP2,7,0.8515288306771585,0.31251612638379045,0.919846578441926,0.8985507246376812,0.9088155423891652
SCOC,7,0.7369370478072315,0.3127632810519665,0.9197344215177613,0.8985507246376812,0.9093981996508461
PIGB,7,0.8567636206500042,0.31255202679055194,0.9197156510916616,0.8985507246376812,0.9089846388282804
GNGT2,7,0.963544738920396,0.31283971561357105,0.9196996575141806,0.8985507246376812,0.9094928954397796
TENT2,7,1.2777870352991647,0.31293885910257346,0.9195404957890381,0.8985507246376812,0.9090919358785992
EEF1AKNMT,6,0.522475838248651,0.29424374869912023,0.9195253885868264,0.9130434782608696,0.9162905311323584
PSMD3,7,0.8156896141255169,0.31303594462966844,0.9194917913636711,0.8985507246376812,0.9093897696331431
AC025171.3,7,0.7606496022779262,0.3128781243042446,0.9194755098407336,0.8985507246376812,0.9094245664447707
PLIN2,7,0.9298425055213324,0.3112889808199122,0.9194557701044025,0.8985507246376812,0.9101788114115631
ZNF624,6,0.7662891983675707,0.29415119446636473,0.9193413667936291,0.9130434782608696,0.9162707856691801
LINC00565,7,1.5352510621670215,0.3130273491547739,0.9193079870379882,0.8985507246376812,0.909261843662524
MSRA,6,0.8019686855510367,0.2942587476880771,0.9192709286968124,0.9130434782608696,0.916150348170242
NCF2,8,1.793998261575538,0.3241045739797428,0.9192570916100614,0.8840579710144928,0.9044341433688668
C19orf54,6,0.9550161793507634,0.29427324423649226,0.9190708620128396,0.9130434782608696,0.9160806717539142
SLC25A39,7,0.9515352394059737,0.3133168862070999,0.919052710134349,0.8985507246376812,0.9088964179492045
WDR54,7,0.8418471246118624,0.3129042057023973,0.9190514122862392,0.8985507246376812,0.9093018396469631
IER3,7,0.5944994682205039,0.3133090819200618,0.9190273338813325,0.8985507246376812,0.9086373834212539
MYDGF,7,1.4152412510483752,0.31308797880227707,0.9190030760002544,0.8985507246376812,0.9092749673377356
CLN6,8,1.6881832656695035,0.3255663229391664,0.9189531230187428,0.8840579710144928,0.9029939205815645
UBXN11,7,0.8627132419533364,0.31299073600334343,0.918907185705762,0.8985507246376812,0.908934814346125
RHOU,9,1.199226245945785,0.33647630434059794,0.918904775315691,0.8695652173913043,0.8970947706070225
POLR2D,6,0.8003468521894258,0.29423670135313007,0.9188701394422102,0.9130434782608696,0.9160400259818372
ZNF486,9,1.284732502204108,0.3392651959284091,0.9188555855457504,0.8695652173913043,0.8936230346761643
RPL27A,7,0.744302881605327,0.3129479177065722,0.9188388711116604,0.8985507246376812,0.9090807733227908
COQ7,6,0.8436353635342316,0.29429743122838453,0.9188233870609261,0.9130434782608696,0.9158779582166489
S100A13,7,1.1906379768535922,0.3131873703684119,0.9187407211986592,0.8985507246376812,0.9088937772858703
ICAM3,7,1.2843600561614297,0.31293869223402393,0.9185901997104936,0.8985507246376812,0.9091944530204018
ZNF587,6,0.7202639139701342,0.2941317029849709,0.9184480387072356,0.9130434782608696,0.9156216395767651
CD3D,6,0.7685778471370521,0.294366283160555,0.9184187019192182,0.9130434782608696,0.915781885765366
MTF2,7,0.7649258680946123,0.31306729672362843,0.9183787721917837,0.8985507246376812,0.9080141842075959
SUMO2,8,0.7210723945648001,0.32812908068933105,0.9183417101447366,0.8840579710144928,0.9012411323507536
SNN,9,1.3706595471601613,0.3397554767226267,0.9183351342587991,0.8695652173913043,0.8933277834062084
ADIPOR2,7,0.7372606564215967,0.3135000387758029,0.9182949655545439,0.8985507246376812,0.9085953328153907
ALCAM,7,0.8612770556606144,0.3131465772099368,0.9182720220453603,0.8985507246376812,0.9079468605694707
H1F0,8,1.3809054924302173,0.3285284232528875,0.9182556292337029,0.8840579710144928,0.9009167106902906
CEP152,6,0.7862177512831615,0.29447579214295955,0.9181884961127331,0.9130434782608696,0.9156045824795551
RASSF4,12,2.1091815300419445,0.36156490557681564,0.9181485418214587,0.8260869565217391,0.878898000310259
MFSD13A,9,1.4573351036735838,0.33725662123074507,0.9181484195874676,0.8695652173913043,0.8927533454220128
PHPT1,7,0.901994127257975,0.31349280580124866,0.9180989751439949,0.8985507246376812,0.9084942344305743
VEGFB,7,0.9617465591240952,0.3132786783980334,0.9180318156334732,0.8985507246376812,0.9088380187754512
GGA1,8,1.2302675438181225,0.32856537402300656,0.9180276670912475,0.8840579710144928,0.9011523699491506
TMEM106C,7,0.879184182291717,0.3137217622453124,0.9179458878608346,0.8985507246376812,0.9081811171691917
FRA10AC1,10,1.425212349794184,0.3479662214469013,0.9178571268602023,0.855072463768116,0.8843564368976282
ATP5PB,9,0.8241723810530548,0.34040973621800813,0.9178519003236025,0.8695652173913043,0.8940839820057802
PTP4A3,9,1.4713224281487423,0.33747274915913594,0.9178441842886256,0.8695652173913043,0.8976357615637596
CALHM2,7,0.7430372806088833,0.3138703351075454,0.9178203617712756,0.8985507246376812,0.9084395517879652
FZD3,7,1.3464714950873884,0.3133425696160904,0.9177795347336529,0.8985507246376812,0.908786061298482
RBCK1,7,0.6650804877649474,0.31378227035161044,0.9177664006167152,0.8985507246376812,0.9079285056931568
PID1,8,1.765537290431215,0.32797713272671647,0.9176996739038361,0.8840579710144928,0.9018606845051853
